,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
19091,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,6,Under 1 year,,,,nan
19092,45-49,Other,USA,Bachelor’s degree,Product Manager,1-3 years,1,1-2 years,,,,nan
19093,40-44,Man,India,Bachelor’s degree,Software Engineer,10-20 years,4,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,nan
19094,40-44,Man,Pakistan,Master’s degree,Business Analyst,< 1 years,1,No experience,Accounting/Finance,0-49 employees,0,"7,500-9,999"
19095,18-21,Man,Pakistan,Bachelor’s degree,Student,< 1 years,1,Under 1 year,,,,nan
19096,50-54,Man,Japan,High school,Software Engineer,20+ years,2,5-10 years,Computers/Technology,250-999 employees,0,"80,000-89,999"
19097,35-39,Man,Japan,Doctoral degree,Data Analyst,3-5 years,2,1-2 years,Shipping/Transportation,250-999 employees,1-2,"70,000-79,999"
19098,55-59,Man,Ukraine,Professional doctorate,Research Scientist,20+ years,3,Under 1 year,Academics/Education,"1000-9,999 employees",1-2,"4,000-4,999"
19099,22-24,Man,India,Master’s degree,Currently not employed,1-3 years,7,No experience,,,,nan
19100,22-24,Man,Egypt,Master’s degree,Student,1-3 years,3,No experience,,,,nan
19101,45-49,Man,USA,Master’s degree,Data Engineer,10-20 years,3,Under 1 year,Computers/Technology,"1000-9,999 employees",20+,"100,000-124,999"
19102,30-34,Woman,Brazil,Master’s degree,Data Scientist,3-5 years,2,3-4 years,Government/Public Service,"1000-9,999 employees",1-2,"30,000-39,999"
19103,18-21,Woman,Indonesia,Master’s degree,Data Engineer,< 1 years,1,Under 1 year,Medical/Pharmaceutical,0-49 employees,0,nan
19104,40-44,Man,Colombia,Bachelor’s degree,Currently not employed,< 1 years,1,Under 1 year,,,,nan
19105,25-29,Man,Indonesia,Master’s degree,Data Scientist,5-10 years,3,3-4 years,Academics/Education,0-49 employees,1-2,"7,500-9,999"
19106,45-49,Man,Taiwan,Master’s degree,Software Engineer,5-10 years,1,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",20+,"20,000-24,999"
19107,22-24,Man,Japan,Master’s degree,Student,3-5 years,3,,,,,nan
19108,55-59,Man,Greece,Master’s degree,Program/Project Manager,20+ years,1,No experience,Other,"1000-9,999 employees",1-2,"100,000-124,999"
19109,30-34,Man,Germany,Bachelor’s degree,Data Engineer,5-10 years,3,4-5 years,Insurance/Risk Assessment,250-999 employees,3-4,"5,000-7,499"
19110,18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,"7,500-9,999"
19111,22-24,Man,Indonesia,Bachelor’s degree,Statistician,< 1 years,1,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",10-14,0-999
19112,35-39,Man,Russia,Doctoral degree,Statistician,5-10 years,3,1-2 years,Academics/Education,"10,000 or more employees",1-2,"20,000-24,999"
19113,18-21,Man,India,Bachelor’s degree,Student,3-5 years,1,1-2 years,,,,nan
19114,40-44,Man,USA,Doctoral degree,Data Scientist,10-20 years,5,10-20 years,Accounting/Finance,"10,000 or more employees",20+,"1,000,000"
19115,30-34,Man,Australia,Master’s degree,Data Scientist,10-20 years,4,2-3 years,Other,0-49 employees,3-4,"80,000-89,999"
19116,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,4,Under 1 year,,,,nan
19117,40-44,Man,Israel,Doctoral degree,Data Scientist,10-20 years,1,4-5 years,Online Service/Internet-based Services,"1000-9,999 employees",5-9,"125,000-149,999"
19118,35-39,Man,Brazil,Doctoral degree,Other,3-5 years,1,Under 1 year,Computers/Technology,0-49 employees,0,"1,000-1,999"
19119,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
19120,35-39,Man,Nigeria,Master’s degree,Software Engineer,3-5 years,4,Under 1 year,Academics/Education,250-999 employees,5-9,"1,000-1,999"
19121,18-21,Man,India,Master’s degree,Student,1-3 years,3,,,,,nan
19122,25-29,Man,USA,Some college no bachelor,Student,< 1 years,1,No experience,,,,nan
19123,45-49,Woman,Portugal,Master’s degree,Business Analyst,5-10 years,2,1-2 years,Computers/Technology,"1000-9,999 employees",15-19,"40,000-49,999"
19124,30-34,Man,India,Bachelor’s degree,Currently not employed,1-3 years,1,2-3 years,,,,nan
19125,40-44,Man,Ecuador,Doctoral degree,Data Scientist,3-5 years,3,Under 1 year,Manufacturing/Fabrication,0-49 employees,1-2,"1,000-1,999"
19126,35-39,Woman,USA,Bachelor’s degree,Currently not employed,1-3 years,1,No experience,,,,nan
19127,25-29,Man,Nigeria,Bachelor’s degree,Business Analyst,3-5 years,1,1-2 years,Accounting/Finance,250-999 employees,5-9,"1,000-1,999"
19128,35-39,Other,India,Master’s degree,DBA/Database Engineer,5-10 years,4,3-4 years,Accounting/Finance,"1000-9,999 employees",20+,"100,000-124,999"
19129,22-24,Man,India,Bachelor’s degree,Research Scientist,< 1 years,4,Under 1 year,Academics/Education,0-49 employees,0,0-999
19130,25-29,Man,USA,Master’s degree,Research Scientist,1-3 years,3,1-2 years,Academics/Education,"10,000 or more employees",20+,"30,000-39,999"
19131,25-29,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,1,No experience,Marketing/CRM,0-49 employees,,nan
19132,25-29,Man,China,Master’s degree,Student,3-5 years,4,1-2 years,,,,nan
19133,30-34,Man,Nigeria,Master’s degree,Data Analyst,3-5 years,2,1-2 years,Energy/Mining,50-249 employees,3-4,"2,000-2,999"
19134,55-59,Man,Brazil,Master’s degree,Other,20+ years,4,No experience,Computers/Technology,"10,000 or more employees",20+,"20,000-24,999"
19135,30-34,Man,Argentina,Master’s degree,Data Scientist,5-10 years,2,3-4 years,Other,"1000-9,999 employees",15-19,"60,000-69,999"
19136,50-54,Man,Poland,Doctoral degree,Research Scientist,20+ years,5,Under 1 year,Academics/Education,250-999 employees,20+,"200,000-249,999"
19137,22-24,Man,UK,Bachelor’s degree,Business Analyst,< 1 years,2,No experience,Retail/Sales,250-999 employees,0,"30,000-39,999"
19138,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
19139,50-54,Man,India,Master’s degree,Data Scientist,20+ years,3,3-4 years,Computers/Technology,0-49 employees,1-2,"15,000-19,999"
19140,22-24,Man,China,Master’s degree,Data Engineer,< 1 years,1,No experience,Academics/Education,0-49 employees,3-4,"1,000-1,999"
19141,25-29,Man,Romania,Master’s degree,Data Scientist,3-5 years,3,2-3 years,Accounting/Finance,"1000-9,999 employees",20+,"1,000-1,999"
19142,25-29,Woman,Italy,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Manufacturing/Fabrication,0-49 employees,10-14,"30,000-39,999"
19143,22-24,Man,France,Master’s degree,Student,3-5 years,4,3-4 years,,,,nan
19144,18-21,Woman,Iran,Bachelor’s degree,Student,1-3 years,1,Under 1 year,,,,nan
19145,22-24,Man,India,Master’s degree,Business Analyst,No experience,0,,Accounting/Finance,50-249 employees,3-4,"3,000-3,999"
19146,25-29,Man,India,Master’s degree,Other,No experience,0,,Retail/Sales,"10,000 or more employees",20+,"5,000-7,499"
19147,25-29,Man,Taiwan,Master’s degree,Software Engineer,1-3 years,2,1-2 years,Online Service/Internet-based Services,0-49 employees,1-2,"40,000-49,999"
19148,25-29,Man,Other,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Other,0-49 employees,1-2,0-999
19149,25-29,Man,Other,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Accounting/Finance,"1000-9,999 employees",5-9,"50,000-59,999"
19150,22-24,Woman,India,I prefer not to answer,Student,5-10 years,5,1-2 years,,,,nan
19151,22-24,Man,Spain,Master’s degree,Data Scientist,3-5 years,4,1-2 years,Online Business/Internet-based Sales,0-49 employees,1-2,"30,000-39,999"
19152,30-34,Man,Brazil,Doctoral degree,Software Engineer,10-20 years,3,5-10 years,Computers/Technology,250-999 employees,15-19,"30,000-39,999"
19153,30-34,Man,UK,Some college no bachelor,Data Scientist,5-10 years,4,5-10 years,Broadcasting/Communications,50-249 employees,1-2,"90,000-99,999"
19154,18-21,Woman,India,Some college no bachelor,Student,1-3 years,1,Under 1 year,,,,nan
19155,30-34,Man,Japan,Master’s degree,Program/Project Manager,5-10 years,1,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",20+,0-999
19156,30-34,Man,China,Doctoral degree,Machine Learning Engineer,10-20 years,1,,,,,nan
19157,18-21,Woman,Ukraine,Bachelor’s degree,Currently not employed,3-5 years,3,Under 1 year,,,,nan
19158,22-24,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Accounting/Finance,0-49 employees,1-2,0-999
19159,22-24,Man,China,I prefer not to answer,Student,3-5 years,5,1-2 years,,,,nan
19160,45-49,Man,Other,Master’s degree,Software Engineer,20+ years,6,5-10 years,Marketing/CRM,0-49 employees,1-2,"40,000-49,999"
19161,25-29,Man,India,Master’s degree,Program/Project Manager,1-3 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"20,000-24,999"
19162,35-39,Woman,Russia,Doctoral degree,Research Scientist,3-5 years,2,4-5 years,Academics/Education,250-999 employees,20+,"10,000-14,999"
19163,22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years,4,No experience,Computers/Technology,"10,000 or more employees",20+,"10,000-14,999"
19164,40-44,Man,Thailand,Master’s degree,Currently not employed,5-10 years,2,1-2 years,,,,nan
19165,25-29,Man,India,Bachelor’s degree,Business Analyst,1-3 years,2,1-2 years,Computers/Technology,250-999 employees,3-4,"30,000-39,999"
19166,22-24,Woman,India,I prefer not to answer,Data Analyst,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999
19167,35-39,Man,Turkey,Bachelor’s degree,Data Analyst,< 1 years,3,No experience,Other,0-49 employees,0,"50,000-59,999"
19168,25-29,Man,India,Bachelor’s degree,Data Engineer,3-5 years,1,2-3 years,Computers/Technology,250-999 employees,20+,"10,000-14,999"
19169,22-24,Man,China,Bachelor’s degree,Student,3-5 years,8,1-2 years,,,,nan
19170,18-21,Man,Poland,Bachelor’s degree,Student,1-3 years,1,No experience,,,,nan
19171,25-29,Man,Denmark,Master’s degree,Currently not employed,3-5 years,2,1-2 years,,,,nan
19172,35-39,Man,Canada,Master’s degree,Data Scientist,10-20 years,3,10-20 years,Medical/Pharmaceutical,"10,000 or more employees",3-4,"100,000-124,999"
19173,25-29,Man,Bangladesh,Bachelor’s degree,Student,< 1 years,3,,,,,nan
19174,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,3,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999
19175,30-34,Man,Germany,Master’s degree,Software Engineer,3-5 years,4,2-3 years,Broadcasting/Communications,0-49 employees,3-4,"60,000-69,999"
19176,30-34,Woman,Ukraine,Master’s degree,Student,1-3 years,2,,,,,nan
19177,30-34,Woman,South Korea,Bachelor’s degree,Software Engineer,5-10 years,1,1-2 years,Computers/Technology,250-999 employees,1-2,"60,000-69,999"
19178,40-44,Man,Ukraine,Doctoral degree,Other,< 1 years,1,1-2 years,Non-profit/Service,0-49 employees,0,"10,000-14,999"
19179,35-39,Man,Mexico,Master’s degree,Other,< 1 years,1,Under 1 year,Accounting/Finance,0-49 employees,3-4,0-999
19180,22-24,Man,India,I prefer not to answer,Currently not employed,< 1 years,2,1-2 years,,,,nan
19181,35-39,Man,USA,Master’s degree,Data Scientist,5-10 years,2,1-2 years,Insurance/Risk Assessment,"1000-9,999 employees",20+,"90,000-99,999"
19182,25-29,Man,India,Bachelor’s degree,Currently not employed,1-3 years,1,1-2 years,,,,nan
19183,22-24,Man,India,Bachelor’s degree,Student,< 1 years,3,1-2 years,,,,nan
19184,35-39,Woman,Japan,I prefer not to answer,Research Scientist,< 1 years,1,Under 1 year,Manufacturing/Fabrication,250-999 employees,3-4,"70,000-79,999"
19185,18-21,Man,Russia,Some college no bachelor,Data Scientist,1-3 years,2,1-2 years,Academics/Education,0-49 employees,3-4,nan
19186,18-21,Woman,India,Bachelor’s degree,Student,3-5 years,5,1-2 years,,,,nan
19187,22-24,Man,France,Master’s degree,Student,3-5 years,4,1-2 years,,,,nan
19188,45-49,Man,India,Master’s degree,Program/Project Manager,20+ years,6,1-2 years,Medical/Pharmaceutical,"10,000 or more employees",20+,"90,000-99,999"
19189,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
19190,35-39,Man,Bangladesh,Master’s degree,Software Engineer,10-20 years,5,No experience,Manufacturing/Fabrication,"1000-9,999 employees",3-4,"20,000-24,999"
19191,18-21,Woman,India,Some college no bachelor,Student,< 1 years,4,Under 1 year,,,,nan
19192,22-24,Man,Spain,Bachelor’s degree,Software Engineer,3-5 years,5,1-2 years,Hospitality/Entertainment/Sports,50-249 employees,0,"20,000-24,999"
19193,25-29,Man,Other,Master’s degree,Research Scientist,1-3 years,1,1-2 years,Other,250-999 employees,1-2,0-999
19194,25-29,Man,India,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Broadcasting/Communications,"10,000 or more employees",10-14,"7,500-9,999"
19195,25-29,Woman,Iran,Master’s degree,Data Scientist,3-5 years,1,3-4 years,Computers/Technology,"1000-9,999 employees",20+,"2,000-2,999"
19196,50-54,Man,USA,Bachelor’s degree,Software Engineer,5-10 years,3,Under 1 year,Computers/Technology,0-49 employees,1-2,"70,000-79,999"
19197,50-54,Man,Japan,Master’s degree,Product Manager,10-20 years,2,3-4 years,Manufacturing/Fabrication,"1000-9,999 employees",20+,"10,000-14,999"
19198,30-34,Man,Spain,Master’s degree,Machine Learning Engineer,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,"150,000-199,999"
19199,18-21,Man,India,Bachelor’s degree,Software Engineer,< 1 years,4,Under 1 year,Online Service/Internet-based Services,"10,000 or more employees",20+,"7,500-9,999"
19200,18-21,Man,India,Bachelor’s degree,Student,1-3 years,1,No experience,,,,nan
19201,45-49,Woman,Other,Master’s degree,Data Analyst,10-20 years,4,,,,,nan
19202,35-39,Man,Ukraine,Bachelor’s degree,Software Engineer,5-10 years,3,2-3 years,Accounting/Finance,"1000-9,999 employees",0,"40,000-49,999"
19203,40-44,Man,Brazil,Bachelor’s degree,Data Engineer,5-10 years,4,Under 1 year,Computers/Technology,"1000-9,999 employees",0,"15,000-19,999"
19204,45-49,Man,Portugal,Bachelor’s degree,Currently not employed,1-3 years,1,No experience,,,,nan
19205,22-24,Man,India,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
19206,22-24,Man,India,Master’s degree,Currently not employed,1-3 years,3,Under 1 year,,,,nan
19207,25-29,Man,Other,Bachelor’s degree,Data Scientist,3-5 years,3,Under 1 year,Academics/Education,250-999 employees,3-4,"1,000-1,999"
19208,25-29,Man,India,Bachelor’s degree,Other,No experience,0,,Insurance/Risk Assessment,250-999 employees,0,"4,000-4,999"
19209,18-21,Man,India,Bachelor’s degree,Student,1-3 years,5,2-3 years,,,,nan
19210,30-34,Man,Nigeria,Bachelor’s degree,Student,3-5 years,4,No experience,,,,nan
19211,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Retail/Sales,"10,000 or more employees",20+,"40,000-49,999"
19212,40-44,Woman,Russia,Bachelor’s degree,Software Engineer,5-10 years,3,Under 1 year,Academics/Education,50-249 employees,1-2,"20,000-24,999"
19213,22-24,Woman,India,Master’s degree,Student,5-10 years,4,1-2 years,,,,nan
19214,30-34,Man,Japan,Master’s degree,Research Scientist,< 1 years,1,Under 1 year,Energy/Mining,250-999 employees,5-9,"60,000-69,999"
19215,22-24,Man,Egypt,Bachelor’s degree,Data Engineer,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,"5,000-7,499"
19216,25-29,Man,Kenya,Master’s degree,Other,1-3 years,3,Under 1 year,Retail/Sales,250-999 employees,15-19,0-999
19217,30-34,Man,Australia,Some college no bachelor,DBA/Database Engineer,1-3 years,2,1-2 years,Online Service/Internet-based Services,"10,000 or more employees",20+,"150,000-199,999"
19218,18-21,Man,India,Bachelor’s degree,Student,< 1 years,4,Under 1 year,,,,nan
19219,25-29,Woman,UK,Master’s degree,Student,5-10 years,3,Under 1 year,,,,nan
19220,55-59,Man,South Korea,Doctoral degree,Program/Project Manager,1-3 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",20+,"100,000-124,999"
19221,60-69,Woman,Other,Bachelor’s degree,Other,No experience,0,,Government/Public Service,250-999 employees,20+,"30,000-39,999"
19222,25-29,Man,India,Bachelor’s degree,Other,< 1 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,"5,000-7,499"
19223,22-24,Man,Morocco,Master’s degree,Student,3-5 years,3,1-2 years,,,,nan
19224,22-24,Man,Algeria,Doctoral degree,Machine Learning Engineer,3-5 years,4,2-3 years,Computers/Technology,250-999 employees,3-4,"2,000-2,999"
19225,25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,3-5 years,5,Under 1 year,Academics/Education,"1000-9,999 employees",20+,0-999
19226,25-29,Man,USA,Master’s degree,Research Scientist,1-3 years,2,No experience,Government/Public Service,250-999 employees,15-19,"90,000-99,999"
19227,22-24,Man,China,Master’s degree,Student,3-5 years,3,Under 1 year,,,,nan
19228,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,2,No experience,Non-profit/Service,50-249 employees,3-4,"7,500-9,999"
19229,50-54,Man,Brazil,Master’s degree,DBA/Database Engineer,20+ years,3,2-3 years,Government/Public Service,"1000-9,999 employees",5-9,"30,000-39,999"
19230,25-29,Man,Argentina,Master’s degree,Software Engineer,3-5 years,3,1-2 years,Computers/Technology,"10,000 or more employees",20+,0-999
19231,30-34,Woman,Spain,Doctoral degree,Research Scientist,3-5 years,3,Under 1 year,Academics/Education,250-999 employees,3-4,"30,000-39,999"
19232,35-39,Man,UK,Doctoral degree,Research Scientist,20+ years,4,5-10 years,Academics/Education,250-999 employees,5-9,"60,000-69,999"
19233,35-39,Man,Germany,Master’s degree,Software Engineer,5-10 years,2,Under 1 year,Government/Public Service,"1000-9,999 employees",10-14,"80,000-89,999"
19234,30-34,Man,Denmark,Master’s degree,Data Scientist,1-3 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,"25,000-29,999"
19235,45-49,Man,Other,Master’s degree,Other,10-20 years,2,No experience,Academics/Education,250-999 employees,0,0-999
19236,40-44,Man,India,Bachelor’s degree,Software Engineer,10-20 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",20+,"10,000-14,999"
19237,30-34,Man,Other,Master’s degree,Business Analyst,< 1 years,2,No experience,Other,"1000-9,999 employees",20+,0-999
19238,25-29,Woman,Nigeria,Bachelor’s degree,Data Engineer,1-3 years,2,1-2 years,Computers/Technology,50-249 employees,3-4,"2,000-2,999"
19239,35-39,Man,India,Master’s degree,Program/Project Manager,10-20 years,6,5-10 years,Other,"1000-9,999 employees",5-9,"50,000-59,999"
19240,22-24,Man,Spain,High school,Data Scientist,1-3 years,3,1-2 years,Online Business/Internet-based Sales,0-49 employees,1-2,"25,000-29,999"
19241,30-34,Man,Germany,Master’s degree,Data Scientist,3-5 years,2,2-3 years,Insurance/Risk Assessment,50-249 employees,3-4,"70,000-79,999"
19242,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,2,1-2 years,Computers/Technology,"10,000 or more employees",3-4,0-999
19243,55-59,Man,USA,Master’s degree,Software Engineer,20+ years,4,5-10 years,Shipping/Transportation,50-249 employees,5-9,"150,000-199,999"
19244,22-24,Man,Nigeria,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,0-999
19245,35-39,Man,USA,Bachelor’s degree,Product Manager,1-3 years,2,Under 1 year,Energy/Mining,50-249 employees,1-2,"100,000-124,999"
19246,45-49,Man,USA,Some college no bachelor,Software Engineer,20+ years,1,No experience,Computers/Technology,0-49 employees,0,"125,000-149,999"
19247,25-29,Man,South Korea,Bachelor’s degree,Student,< 1 years,1,Under 1 year,,,,nan
19248,25-29,Woman,Russia,Bachelor’s degree,Software Engineer,3-5 years,1,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,"25,000-29,999"
19249,25-29,Man,India,Doctoral degree,Research Scientist,5-10 years,2,5-10 years,Academics/Education,250-999 employees,1-2,0-999
19250,50-54,Man,South Africa,Master’s degree,Software Engineer,10-20 years,1,Under 1 year,Online Service/Internet-based Services,0-49 employees,1-2,0-999
19251,22-24,Woman,Other,High school,Data Analyst,No experience,0,,Non-profit/Service,0-49 employees,3-4,0-999
19252,40-44,Man,India,Some college no bachelor,Currently not employed,1-3 years,4,1-2 years,,,,nan
19253,25-29,Man,India,Master’s degree,Other,< 1 years,3,No experience,Academics/Education,"1000-9,999 employees",5-9,"5,000-7,499"
19254,60-69,Man,Australia,Doctoral degree,Research Scientist,20+ years,5,20 or more years,Academics/Education,"1000-9,999 employees",20+,"125,000-149,999"
19255,18-21,Woman,Colombia,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
19256,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",0,"7,500-9,999"
19257,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
19258,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,5,Under 1 year,,,,nan
19259,22-24,Man,India,Master’s degree,Student,< 1 years,4,,,,,nan
19260,30-34,Man,China,Doctoral degree,Research Scientist,5-10 years,3,4-5 years,Academics/Education,"1000-9,999 employees",3-4,"20,000-24,999"
19261,25-29,Man,India,Master’s degree,Student,1-3 years,6,1-2 years,,,,nan
19262,25-29,Man,Colombia,Bachelor’s degree,Student,3-5 years,3,Under 1 year,,,,nan
19263,40-44,Woman,Singapore,Doctoral degree,Research Scientist,10-20 years,1,2-3 years,Computers/Technology,0-49 employees,1-2,"60,000-69,999"
19264,18-21,Man,India,Bachelor’s degree,Student,1-3 years,5,,,,,nan
19265,45-49,Man,Taiwan,Master’s degree,Data Analyst,20+ years,4,4-5 years,Accounting/Finance,50-249 employees,1-2,"40,000-49,999"
19266,25-29,Man,India,Master’s degree,Currently not employed,5-10 years,4,Under 1 year,,,,nan
19267,22-24,Man,Other,Master’s degree,Student,3-5 years,4,Under 1 year,,,,nan
19268,55-59,Man,Spain,Bachelor’s degree,Software Engineer,3-5 years,2,No experience,Computers/Technology,"10,000 or more employees",0,"40,000-49,999"
19269,22-24,Man,Italy,Bachelor’s degree,Student,3-5 years,2,1-2 years,,,,nan
19270,35-39,Woman,Portugal,Doctoral degree,Program/Project Manager,1-3 years,2,Under 1 year,Manufacturing/Fabrication,50-249 employees,0,"40,000-49,999"
19271,40-44,Man,Kazakhstan,Bachelor’s degree,Other,No experience,0,,Computers/Technology,50-249 employees,1-2,0-999
19272,35-39,Man,USA,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Online Service/Internet-based Services,0-49 employees,1-2,0-999
19273,25-29,Man,Spain,Doctoral degree,Data Scientist,5-10 years,2,4-5 years,Broadcasting/Communications,"1000-9,999 employees",3-4,"30,000-39,999"
19274,35-39,Man,USA,Master’s degree,Product Manager,10-20 years,5,2-3 years,Computers/Technology,"10,000 or more employees",3-4,"150,000-199,999"
19275,40-44,Other,Canada,Master’s degree,Currently not employed,3-5 years,2,2-3 years,,,,nan
19276,18-21,Man,India,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
19277,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,Under 1 year,Computers/Technology,0-49 employees,0,0-999
19278,18-21,Man,India,Some college no bachelor,Software Engineer,1-3 years,1,No experience,Accounting/Finance,50-249 employees,1-2,"1,000-1,999"
19279,25-29,Man,India,Master’s degree,Currently not employed,3-5 years,3,Under 1 year,,,,nan
19280,35-39,Man,Malaysia,Doctoral degree,Data Scientist,3-5 years,2,3-4 years,Medical/Pharmaceutical,0-49 employees,1-2,0-999
19281,25-29,Man,Other,Bachelor’s degree,Other,< 1 years,4,Under 1 year,Academics/Education,"1000-9,999 employees",1-2,0-999
19282,25-29,Woman,Thailand,Master’s degree,Student,1-3 years,2,No experience,,,,nan
19283,35-39,Man,USA,Master’s degree,Other,3-5 years,4,Under 1 year,Insurance/Risk Assessment,50-249 employees,3-4,"50,000-59,999"
19284,45-49,Man,Mexico,Master’s degree,Machine Learning Engineer,10-20 years,4,10-20 years,Computers/Technology,0-49 employees,3-4,"7,500-9,999"
19285,22-24,Man,Russia,Bachelor’s degree,Student,1-3 years,1,Under 1 year,,,,nan
19286,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,"1,000-1,999"
19287,22-24,Woman,India,I prefer not to answer,Student,< 1 years,4,Under 1 year,,,,nan
19288,40-44,Man,Italy,Bachelor’s degree,Research Scientist,20+ years,5,10-20 years,Computers/Technology,0-49 employees,1-2,"60,000-69,999"
19289,22-24,Man,Philippines,Bachelor’s degree,Student,1-3 years,4,No experience,,,,nan
19290,22-24,Woman,India,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Other,"1000-9,999 employees",20+,"1,000-1,999"
19291,18-21,Man,South Africa,Bachelor’s degree,Student,1-3 years,3,1-2 years,,,,nan
19292,30-34,Man,Iran,Master’s degree,Business Analyst,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,0,"3,000-3,999"
19293,30-34,Man,Brazil,Master’s degree,Data Scientist,3-5 years,4,1-2 years,Other,"1000-9,999 employees",1-2,"1,000-1,999"
19294,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
19295,18-21,Man,Nigeria,Bachelor’s degree,Student,1-3 years,1,1-2 years,,,,nan
19296,25-29,Woman,India,Master’s degree,Other,1-3 years,1,1-2 years,Academics/Education,250-999 employees,15-19,"5,000-7,499"
19297,22-24,Man,India,I prefer not to answer,Currently not employed,< 1 years,1,No experience,,,,nan
19298,18-21,Man,Indonesia,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
19299,35-39,Other,Russia,Master’s degree,Business Analyst,1-3 years,1,Under 1 year,Energy/Mining,"1000-9,999 employees",0,"7,500-9,999"
19300,40-44,Woman,Spain,Some college no bachelor,Software Engineer,20+ years,2,No experience,Computers/Technology,250-999 employees,3-4,"30,000-39,999"
19301,30-34,Man,Ireland,Master’s degree,Student,5-10 years,4,Under 1 year,,,,nan
19302,25-29,Man,Nigeria,Bachelor’s degree,Business Analyst,< 1 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,"5,000-7,499"
19303,25-29,Man,Japan,Master’s degree,Data Analyst,1-3 years,1,1-2 years,Manufacturing/Fabrication,250-999 employees,3-4,"5,000-7,499"
19304,45-49,Man,Argentina,Some college no bachelor,Other,No experience,0,,Manufacturing/Fabrication,50-249 employees,1-2,"15,000-19,999"
19305,30-34,Man,USA,Master’s degree,Data Scientist,3-5 years,3,1-2 years,Marketing/CRM,250-999 employees,5-9,"80,000-89,999"
19306,30-34,Man,Australia,Master’s degree,Data Analyst,3-5 years,3,No experience,Accounting/Finance,"10,000 or more employees",0,"125,000-149,999"
19307,18-21,Man,India,Master’s degree,Data Scientist,1-3 years,3,Under 1 year,Computers/Technology,250-999 employees,5-9,0-999
19308,30-34,Man,USA,Bachelor’s degree,Other,5-10 years,2,2-3 years,Other,50-249 employees,0,"70,000-79,999"
19309,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,3,,,,,nan
19310,40-44,Man,Other,Doctoral degree,Data Scientist,5-10 years,3,4-5 years,Academics/Education,50-249 employees,3-4,"1,000-1,999"
