,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
12226,45-49,Man,UK,Master’s degree,2,No experience,Broadcasting/Communications,Large,65000.0,Data Analyst
12229,50-54,Man,France,Master’s degree,4,5-10 years,Other,Large,65000.0,Data Engineer
12230,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Broadcasting/Communications,Medium,2500.0,Data Engineer
12233,22-24,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,6250.0,Data Analyst
12235,30-34,Man,India,Master’s degree,2,Under 1 year,Academics/Education,Large,4500.0,Other
12236,25-29,Woman,USA,Master’s degree,2,1-2 years,Academics/Education,Large,22500.0,Data Scientist
12237,35-39,Man,France,Master’s degree,1,No experience,Accounting/Finance,Large,137500.0,Data Analyst
12238,22-24,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Large,4500.0,Data Engineer
12242,25-29,Woman,Spain,Bachelor’s degree,3,No experience,Accounting/Finance,Medium,1500.0,Data Analyst
12245,25-29,Man,Germany,Master’s degree,2,1-2 years,Broadcasting/Communications,Large,1500.0,Other
12247,22-24,Man,USA,Bachelor’s degree,1,No experience,Military/Security/Defense,Large,85000.0,Data Engineer
12248,30-34,Man,UK,Master’s degree,2,1-2 years,Academics/Education,Large,500.0,Data Scientist
12249,25-29,Other,USA,Master’s degree,4,5-10 years,Military/Security/Defense,Large,112500.0,Data Scientist
12254,50-54,Woman,USA,Professional doctorate,3,Under 1 year,Medical/Pharmaceutical,Large,175000.0,Data Scientist
12255,25-29,Woman,India,Master’s degree,1,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
12257,45-49,Man,USA,Bachelor’s degree,4,Under 1 year,Computers/Technology,Small,112500.0,Other
12258,40-44,Man,Germany,Doctoral degree,3,10-20 years,Academics/Education,Large,112500.0,Other
12269,50-54,Woman,USA,Bachelor’s degree,1,No experience,Retail/Sales,Small,137500.0,Other
12270,25-29,Man,Russia,Bachelor’s degree,1,No experience,Marketing/CRM,Large,22500.0,Data Analyst
12271,22-24,Woman,Ukraine,Master’s degree,3,1-2 years,Broadcasting/Communications,Small,12500.0,Data Analyst
12272,25-29,Man,India,Master’s degree,3,No experience,Accounting/Finance,Large,17500.0,Data Engineer
12273,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Shipping/Transportation,Small,500.0,Data Scientist
12275,25-29,Man,Germany,Master’s degree,1,3-4 years,Academics/Education,Medium,55000.0,Data Scientist
12279,35-39,Woman,USA,Master’s degree,1,1-2 years,Computers/Technology,Large,175000.0,Data Analyst
12281,45-49,Man,USA,Bachelor’s degree,3,1-2 years,Retail/Sales,Small,85000.0,Data Analyst
12284,25-29,Man,India,Bachelor’s degree,2,2-3 years,Computers/Technology,Large,12500.0,Data Scientist
12286,25-29,Man,Spain,Master’s degree,3,1-2 years,Academics/Education,Large,500.0,Data Scientist
12287,25-29,Man,USA,Bachelor’s degree,3,Under 1 year,Insurance/Risk Assessment,Large,45000.0,Other
12289,25-29,Woman,USA,Master’s degree,4,2-3 years,Shipping/Transportation,Small,22500.0,Data Analyst
12290,25-29,Man,India,Bachelor’s degree,3,Under 1 year,Online Service/Internet-based Services,Small,6250.0,Data Analyst
12291,50-54,Man,Sweden,Some college,2,No experience,Computers/Technology,Large,65000.0,Other
12294,22-24,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Large,17500.0,Data Engineer
12297,30-34,Man,India,Bachelor’s degree,2,5-10 years,Military/Security/Defense,Large,137500.0,Data Scientist
12299,30-34,Man,USA,Doctoral degree,4,3-4 years,Insurance/Risk Assessment,Large,175000.0,Data Scientist
12302,35-39,Man,Spain,Bachelor’s degree,2,Under 1 year,Hospitality/Entertainment/Sports,Large,22500.0,Other
12306,22-24,Woman,USA,Master’s degree,3,Under 1 year,Computers/Technology,Large,75000.0,Data Analyst
12307,35-39,Woman,Russia,Bachelor’s degree,1,No experience,Accounting/Finance,Large,1500.0,Data Analyst
12309,25-29,Man,India,Bachelor’s degree,2,1-2 years,Online Business/Internet-based Sales,Large,6250.0,Data Analyst
12310,25-29,Man,Germany,Master’s degree,3,2-3 years,Academics/Education,Medium,65000.0,Data Scientist
12311,22-24,Man,India,Master’s degree,3,Under 1 year,Retail/Sales,Small,500.0,Data Analyst
12313,25-29,Woman,India,Master’s degree,3,Under 1 year,Shipping/Transportation,Large,27500.0,Data Analyst
12314,30-34,Woman,UK,Bachelor’s degree,1,Under 1 year,Government/Public Service,Large,35000.0,Other
12319,35-39,Man,India,Doctoral degree,4,1-2 years,Academics/Education,Large,3500.0,Data Engineer
12326,55-59,Woman,USA,Master’s degree,1,No experience,Academics/Education,Large,112500.0,Data Analyst
12327,40-44,Man,India,Master’s degree,4,5-10 years,Computers/Technology,Large,27500.0,Data Scientist
12330,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,6250.0,Data Engineer
12335,25-29,Man,USA,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,75000.0,Data Engineer
12337,25-29,Woman,Portugal,Doctoral degree,3,4-5 years,Academics/Education,Large,500.0,Data Scientist
12341,40-44,Man,Portugal,Bachelor’s degree,1,Under 1 year,Online Service/Internet-based Services,Medium,17500.0,Data Analyst
12344,25-29,Man,USA,Master’s degree,3,2-3 years,Broadcasting/Communications,Medium,112500.0,Data Engineer
12346,18-21,Man,Italy,Bachelor’s degree,1,Under 1 year,Other,Small,65000.0,Data Scientist
12350,30-34,Man,Romania,High school,3,4-5 years,Accounting/Finance,Medium,35000.0,Data Scientist
12351,35-39,Man,France,Master’s degree,1,10-20 years,Energy/Mining,Large,75000.0,Data Scientist
12352,40-44,Man,India,Bachelor’s degree,2,2-3 years,Shipping/Transportation,Large,75000.0,Other
12353,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,35000.0,Data Scientist
12355,55-59,Man,France,Doctoral degree,2,1-2 years,Other,Small,6250.0,Data Scientist
12356,35-39,Man,Germany,Master’s degree,2,2-3 years,Energy/Mining,Large,95000.0,Data Analyst
12357,35-39,Man,India,Bachelor’s degree,1,No experience,Other,Large,1500.0,Data Analyst
12358,18-21,Woman,India,Master’s degree,2,Under 1 year,Computers/Technology,Large,22500.0,Data Analyst
12359,35-39,Man,India,Master’s degree,4,Under 1 year,Military/Security/Defense,Small,35000.0,Data Scientist
12360,35-39,Woman,Romania,Master’s degree,3,4-5 years,Energy/Mining,Large,22500.0,Data Scientist
12361,25-29,Woman,India,Master’s degree,3,2-3 years,Computers/Technology,Large,8750.0,Data Engineer
12362,35-39,Man,USA,Master’s degree,2,3-4 years,Hospitality/Entertainment/Sports,Large,112500.0,Data Scientist
12364,35-39,Man,USA,Master’s degree,2,5-10 years,Accounting/Finance,Large,175000.0,Data Scientist
12365,40-44,Man,France,Doctoral degree,2,4-5 years,Computers/Technology,Large,45000.0,Data Scientist
12368,50-54,Man,Spain,Master’s degree,2,4-5 years,Accounting/Finance,Large,112500.0,Data Scientist
12370,22-24,Man,India,Bachelor’s degree,2,2-3 years,Computers/Technology,Medium,17500.0,Data Scientist
12372,35-39,Man,USA,Bachelor’s degree,1,No experience,Manufacturing/Fabrication,Small,112500.0,Other
12380,25-29,Man,Poland,Master’s degree,2,3-4 years,Other,Large,35000.0,Data Engineer
12382,35-39,Woman,India,Master’s degree,3,2-3 years,Broadcasting/Communications,Large,22500.0,Data Engineer
12384,40-44,Woman,UK,Bachelor’s degree,2,No experience,Computers/Technology,Medium,85000.0,Other
12388,30-34,Man,France,Master’s degree,2,1-2 years,Online Service/Internet-based Services,Small,2500.0,Data Scientist
12390,30-34,Man,India,Bachelor’s degree,1,4-5 years,Online Business/Internet-based Sales,Large,27500.0,Data Scientist
12391,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,6250.0,Data Analyst
12394,50-54,Woman,India,Professional doctorate,2,2-3 years,Academics/Education,Large,1500.0,Data Scientist
12395,40-44,Man,USA,Master’s degree,3,1-2 years,Online Service/Internet-based Services,Large,175000.0,Data Engineer
12396,22-24,Man,Russia,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,8750.0,Data Engineer
12397,35-39,Man,Switzerland,Professional doctorate,3,3-4 years,Medical/Pharmaceutical,Small,112500.0,Data Engineer
12398,45-49,Woman,Portugal,Doctoral degree,1,No experience,Government/Public Service,Large,17500.0,Data Scientist
12404,30-34,Woman,India,Doctoral degree,2,Under 1 year,Academics/Education,Large,500.0,Other
12405,30-34,Man,India,Bachelor’s degree,3,2-3 years,Insurance/Risk Assessment,Large,12500.0,Data Engineer
12408,35-39,Man,India,Bachelor’s degree,2,4-5 years,Computers/Technology,Large,22500.0,Data Engineer
12409,45-49,Other,UK,Master’s degree,3,2-3 years,Accounting/Finance,Small,175000.0,Other
12412,25-29,Man,India,I prefer not to answer,2,Under 1 year,Medical/Pharmaceutical,Medium,8750.0,Data Analyst
12414,40-44,Man,India,Doctoral degree,2,Under 1 year,Academics/Education,Small,17500.0,Other
12416,40-44,Man,UK,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Small,45000.0,Data Engineer
12418,22-24,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,8750.0,Data Engineer
12419,35-39,Woman,USA,Master’s degree,4,Under 1 year,Government/Public Service,Large,22500.0,Other
12423,25-29,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,8750.0,Data Engineer
12426,30-34,Man,USA,Master’s degree,2,Under 1 year,Accounting/Finance,Large,27500.0,Other
12428,22-24,Man,Russia,Bachelor’s degree,2,Under 1 year,Other,Small,500.0,Data Engineer
12430,18-21,Man,Austria,Bachelor’s degree,3,Under 1 year,Marketing/CRM,Small,500.0,Other
12432,30-34,Woman,India,Bachelor’s degree,1,No experience,Retail/Sales,Large,500.0,Other
12435,30-34,Man,India,Master’s degree,2,Under 1 year,Computers/Technology,Large,8750.0,Data Scientist
12436,30-34,Man,UK,Master’s degree,2,1-2 years,Academics/Education,Large,45000.0,Other
12437,35-39,Man,UK,Doctoral degree,2,5-10 years,Energy/Mining,Large,112500.0,Data Scientist
12439,40-44,Woman,Spain,Master’s degree,2,5-10 years,Online Business/Internet-based Sales,Medium,35000.0,Data Scientist
12446,22-24,Man,India,Master’s degree,2,Under 1 year,Academics/Education,Small,500.0,Other
12448,25-29,Woman,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,6250.0,Data Engineer
12451,30-34,Man,Russia,Bachelor’s degree,2,No experience,Accounting/Finance,Medium,1500.0,Data Scientist
12455,22-24,Man,Poland,Some college,1,1-2 years,Computers/Technology,Large,17500.0,Data Scientist
12457,40-44,Man,India,Professional doctorate,1,Under 1 year,Computers/Technology,Large,22500.0,Data Analyst
12460,35-39,Man,India,Bachelor’s degree,1,2-3 years,Shipping/Transportation,Large,45000.0,Data Analyst
12461,30-34,Woman,India,Doctoral degree,3,Under 1 year,Other,Small,500.0,Other
12462,35-39,Man,USA,Doctoral degree,4,5-10 years,Medical/Pharmaceutical,Large,55000.0,Data Scientist
12463,30-34,Man,France,Master’s degree,1,5-10 years,Manufacturing/Fabrication,Medium,55000.0,Data Engineer
12466,25-29,Man,Germany,Master’s degree,3,3-4 years,Insurance/Risk Assessment,Small,85000.0,Data Engineer
12467,45-49,Man,India,Some college,1,Under 1 year,Academics/Education,Small,12500.0,Data Scientist
12469,30-34,Man,Italy,Doctoral degree,1,Under 1 year,Manufacturing/Fabrication,Large,35000.0,Data Scientist
12470,25-29,Man,India,Bachelor’s degree,3,2-3 years,Computers/Technology,Large,12500.0,Data Engineer
12472,22-24,Man,USA,Master’s degree,3,2-3 years,Academics/Education,Large,45000.0,Data Scientist
12473,22-24,Woman,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
12474,35-39,Man,India,Master’s degree,4,5-10 years,Accounting/Finance,Large,45000.0,Data Analyst
12475,45-49,Man,Poland,Master’s degree,4,5-10 years,Medical/Pharmaceutical,Large,35000.0,Data Analyst
12477,25-29,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Large,12500.0,Data Engineer
12480,30-34,Woman,India,Master’s degree,1,Under 1 year,Medical/Pharmaceutical,Medium,6250.0,Other
12481,30-34,Man,Poland,Doctoral degree,2,Under 1 year,Academics/Education,Large,17500.0,Data Scientist
12485,30-34,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,8750.0,Data Engineer
12494,55-59,Man,USA,Master’s degree,1,Under 1 year,Other,Large,500.0,Data Analyst
12498,40-44,Man,USA,Bachelor’s degree,1,No experience,Government/Public Service,Large,112500.0,Data Engineer
12500,30-34,Man,USA,Master’s degree,3,5-10 years,Computers/Technology,Large,85000.0,Data Scientist
12501,25-29,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Large,6250.0,Data Engineer
12502,45-49,Man,France,Master’s degree,1,5-10 years,Computers/Technology,Small,65000.0,Data Scientist
12507,45-49,Man,India,Master’s degree,3,4-5 years,Computers/Technology,Large,45000.0,Data Analyst
12508,45-49,Man,USA,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,95000.0,Data Engineer
12513,22-24,Man,USA,Master’s degree,2,4-5 years,Retail/Sales,Large,95000.0,Data Scientist
12514,25-29,Man,USA,Master’s degree,3,3-4 years,Academics/Education,Large,35000.0,Data Scientist
12515,25-29,Man,UK,Master’s degree,1,2-3 years,Academics/Education,Medium,55000.0,Other
12516,45-49,Man,India,Master’s degree,3,Under 1 year,Accounting/Finance,Large,112500.0,Data Engineer
12520,45-49,Man,Italy,High school,3,1-2 years,Online Service/Internet-based Services,Large,22500.0,Data Analyst
12521,22-24,Man,India,Bachelor’s degree,3,1-2 years,Online Business/Internet-based Sales,Large,17500.0,Data Engineer
12523,30-34,Man,India,Bachelor’s degree,3,No experience,Computers/Technology,Large,12500.0,Data Analyst
12524,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Other,Small,500.0,Data Scientist
12527,22-24,Man,USA,Master’s degree,3,1-2 years,Manufacturing/Fabrication,Large,75000.0,Data Scientist
12528,18-21,Man,India,Bachelor’s degree,3,1-2 years,Online Service/Internet-based Services,Large,6250.0,Data Analyst
12531,25-29,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Small,6250.0,Data Engineer
12532,22-24,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Small,4500.0,Data Analyst
12534,30-34,Man,USA,Master’s degree,3,1-2 years,Academics/Education,Medium,500.0,Data Analyst
12538,30-34,Man,Ukraine,Master’s degree,2,1-2 years,Accounting/Finance,Large,45000.0,Data Scientist
12542,55-59,Man,Ireland,Doctoral degree,4,5-10 years,Academics/Education,Large,45000.0,Data Scientist
12543,22-24,Woman,USA,Master’s degree,1,No experience,Accounting/Finance,Large,112500.0,Data Analyst
12545,22-24,Man,India,Bachelor’s degree,3,1-2 years,Online Business/Internet-based Sales,Small,500.0,Data Scientist
12546,22-24,Man,UK,Master’s degree,3,1-2 years,Government/Public Service,Large,12500.0,Data Engineer
12547,18-21,Man,India,Bachelor’s degree,3,No experience,Computers/Technology,Small,500.0,Data Engineer
12548,25-29,Woman,India,Master’s degree,4,No experience,Accounting/Finance,Large,12500.0,Data Engineer
12551,25-29,Man,Spain,Master’s degree,2,Under 1 year,Online Business/Internet-based Sales,Large,3500.0,Data Scientist
12552,30-34,Man,USA,Doctoral degree,2,3-4 years,Academics/Education,Large,112500.0,Other
12555,55-59,Man,Romania,Bachelor’s degree,2,No experience,Computers/Technology,Large,22500.0,Data Engineer
12556,35-39,Man,USA,Professional doctorate,2,4-5 years,Military/Security/Defense,Large,112500.0,Data Engineer
12557,30-34,Woman,India,Master’s degree,1,Under 1 year,Computers/Technology,Medium,500.0,Data Scientist
12559,45-49,Woman,India,Master’s degree,3,Under 1 year,Retail/Sales,Large,500.0,Data Analyst
12560,25-29,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Large,85000.0,Data Scientist
12561,50-54,Man,USA,Master’s degree,2,No experience,Energy/Mining,Large,137500.0,Other
12562,55-59,Other,Spain,Doctoral degree,4,2-3 years,Manufacturing/Fabrication,Large,75000.0,Data Analyst
12563,22-24,Man,India,Bachelor’s degree,1,2-3 years,Manufacturing/Fabrication,Large,500.0,Data Engineer
12567,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Insurance/Risk Assessment,Large,1500.0,Data Engineer
12570,35-39,Man,India,Master’s degree,3,2-3 years,Accounting/Finance,Large,45000.0,Data Scientist
12571,22-24,Woman,India,Bachelor’s degree,4,Under 1 year,Online Service/Internet-based Services,Large,4500.0,Data Engineer
12572,35-39,Woman,India,Doctoral degree,2,4-5 years,Academics/Education,Large,500.0,Other
12573,35-39,Man,India,Master’s degree,4,1-2 years,Academics/Education,Medium,8750.0,Other
12574,30-34,Woman,Austria,Master’s degree,3,4-5 years,Academics/Education,Medium,55000.0,Data Scientist
12575,30-34,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Large,6250.0,Data Engineer
12576,22-24,Man,India,Master’s degree,2,Under 1 year,Other,Small,500.0,Data Engineer
12577,50-54,Man,Italy,Master’s degree,1,Under 1 year,Government/Public Service,Large,65000.0,Other
12579,55-59,Man,Netherlands,Master’s degree,3,Under 1 year,Government/Public Service,Large,75000.0,Data Analyst
12580,40-44,Man,India,Master’s degree,1,4-5 years,Computers/Technology,Large,55000.0,Data Scientist
12581,35-39,Man,USA,Master’s degree,2,10-20 years,Other,Large,85000.0,Data Scientist
12584,45-49,Man,Greece,Doctoral degree,2,5-10 years,Energy/Mining,Large,27500.0,Data Scientist
12585,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Broadcasting/Communications,Medium,2500.0,Data Scientist
12587,25-29,Man,Portugal,Master’s degree,2,Under 1 year,Academics/Education,Small,1500.0,Data Analyst
12594,25-29,Man,India,Master’s degree,4,2-3 years,Computers/Technology,Large,12500.0,Data Engineer
12595,18-21,Man,India,Master’s degree,4,Under 1 year,Academics/Education,Small,500.0,Data Scientist
12596,30-34,Man,UK,Bachelor’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,45000.0,Other
12597,22-24,Man,India,Master’s degree,2,Under 1 year,Online Business/Internet-based Sales,Large,500.0,Data Analyst
12599,22-24,Man,USA,Bachelor’s degree,2,1-2 years,Academics/Education,Medium,1500.0,Data Analyst
12602,22-24,Man,India,Bachelor’s degree,1,1-2 years,Academics/Education,Small,500.0,Data Engineer
12603,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Other,Small,500.0,Data Engineer
12604,30-34,Man,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,6250.0,Data Analyst
12605,30-34,Woman,Russia,Master’s degree,2,1-2 years,Academics/Education,Medium,8750.0,Data Scientist
12606,25-29,Man,India,Bachelor’s degree,2,3-4 years,Computers/Technology,Large,35000.0,Data Engineer
12608,25-29,Man,Germany,Master’s degree,3,1-2 years,Academics/Education,Small,65000.0,Data Engineer
12609,35-39,Man,UK,Bachelor’s degree,1,Under 1 year,Medical/Pharmaceutical,Large,45000.0,Data Analyst
12610,35-39,Man,Germany,Professional doctorate,1,5-10 years,Medical/Pharmaceutical,Small,75000.0,Data Scientist
12612,40-44,Man,USA,Master’s degree,1,No experience,Military/Security/Defense,Small,175000.0,Other
12618,22-24,Man,USA,Master’s degree,3,1-2 years,Academics/Education,Small,8750.0,Data Analyst
12619,50-54,Man,India,Doctoral degree,1,4-5 years,Academics/Education,Medium,55000.0,Data Analyst
12623,50-54,Man,USA,Master’s degree,1,5-10 years,Energy/Mining,Small,175000.0,Data Scientist
12626,30-34,Man,India,Master’s degree,3,Under 1 year,Other,Small,22500.0,Other
12627,25-29,Woman,Spain,Doctoral degree,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
12635,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Medium,12500.0,Data Analyst
12638,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,3500.0,Data Analyst
12640,55-59,Man,USA,Master’s degree,4,Under 1 year,Manufacturing/Fabrication,Small,12500.0,Data Analyst
12641,25-29,Woman,France,Master’s degree,4,Under 1 year,Computers/Technology,Medium,500.0,Data Engineer
12643,22-24,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Small,2500.0,Data Scientist
12644,30-34,Man,UK,Doctoral degree,2,3-4 years,Marketing/CRM,Large,75000.0,Data Analyst
12646,35-39,Man,UK,Bachelor’s degree,3,No experience,Other,Medium,35000.0,Other
12647,50-54,Man,Ireland,Doctoral degree,1,4-5 years,Computers/Technology,Small,4500.0,Data Engineer
12650,45-49,Man,UK,Master’s degree,4,4-5 years,Broadcasting/Communications,Large,137500.0,Data Scientist
12652,30-34,Woman,Germany,Master’s degree,3,5-10 years,Medical/Pharmaceutical,Large,95000.0,Data Analyst
12654,25-29,Man,USA,Bachelor’s degree,3,2-3 years,Medical/Pharmaceutical,Large,75000.0,Data Engineer
12657,35-39,Man,Poland,Master’s degree,3,5-10 years,Marketing/CRM,Large,35000.0,Data Scientist
12658,35-39,Woman,India,Master’s degree,3,2-3 years,Computers/Technology,Medium,3500.0,Data Engineer
12660,30-34,Man,USA,Master’s degree,1,3-4 years,Other,Large,175000.0,Other
12661,25-29,Other,USA,Bachelor’s degree,2,Under 1 year,Computers/Technology,Medium,27500.0,Data Scientist
12667,50-54,Woman,USA,Master’s degree,1,No experience,Academics/Education,Medium,175000.0,Other
12668,22-24,Man,India,Bachelor’s degree,2,No experience,Computers/Technology,Large,500.0,Data Scientist
12671,22-24,Man,Ukraine,Master’s degree,2,Under 1 year,Broadcasting/Communications,Large,1500.0,Data Analyst
12673,50-54,Man,India,Master’s degree,4,1-2 years,Computers/Technology,Small,112500.0,Data Scientist
12675,18-21,Man,India,Bachelor’s degree,4,Under 1 year,Computers/Technology,Small,500.0,Data Analyst
12676,22-24,Man,India,Master’s degree,1,3-4 years,Computers/Technology,Large,45000.0,Data Scientist
12677,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Small,1500.0,Data Scientist
12678,50-54,Man,Spain,Master’s degree,3,3-4 years,Academics/Education,Large,45000.0,Other
12681,30-34,Man,India,Bachelor’s degree,3,Under 1 year,Medical/Pharmaceutical,Large,35000.0,Data Engineer
12682,35-39,Man,Denmark,Doctoral degree,2,5-10 years,Shipping/Transportation,Large,112500.0,Data Scientist
12686,35-39,Man,India,Master’s degree,2,Under 1 year,Computers/Technology,Large,22500.0,Data Analyst
12687,30-34,Man,Czech Republic,Master’s degree,2,4-5 years,Online Service/Internet-based Services,Large,45000.0,Data Engineer
12688,45-49,Man,Greece,Master’s degree,3,Under 1 year,Academics/Education,Small,12500.0,Other
12689,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,4500.0,Data Engineer
12698,40-44,Man,India,Master’s degree,3,1-2 years,Marketing/CRM,Large,17500.0,Data Scientist
12699,25-29,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Engineer
12703,30-34,Man,India,Some college,2,1-2 years,Retail/Sales,Large,45000.0,Data Scientist
12707,40-44,Man,India,Doctoral degree,1,No experience,Academics/Education,Medium,12500.0,Data Scientist
12708,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,500.0,Other
12709,18-21,Man,Russia,Bachelor’s degree,1,Under 1 year,Non-profit/Service,Large,500.0,Data Analyst
12714,30-34,Man,Ukraine,Doctoral degree,1,4-5 years,Energy/Mining,Large,27500.0,Data Scientist
12715,50-54,Man,Spain,Master’s degree,1,2-3 years,Accounting/Finance,Large,500.0,Data Analyst
12716,22-24,Man,India,Bachelor’s degree,2,No experience,Accounting/Finance,Large,4500.0,Other
12718,35-39,Woman,India,Doctoral degree,1,Under 1 year,Academics/Education,Large,500.0,Data Scientist
12719,22-24,Man,India,Bachelor’s degree,2,No experience,Academics/Education,Large,500.0,Other
12720,30-34,Man,Sweden,Master’s degree,2,Under 1 year,Online Business/Internet-based Sales,Large,65000.0,Data Analyst
12722,45-49,Man,India,Master’s degree,1,3-4 years,Computers/Technology,Large,12500.0,Other
12724,30-34,Man,Netherlands,Doctoral degree,4,5-10 years,Government/Public Service,Large,45000.0,Data Scientist
12726,25-29,Woman,India,Bachelor’s degree,1,Under 1 year,Accounting/Finance,Large,6250.0,Other
12727,45-49,Man,France,Master’s degree,2,Under 1 year,Academics/Education,Small,55000.0,Data Analyst
12728,40-44,Woman,India,Doctoral degree,3,4-5 years,Marketing/CRM,Large,85000.0,Data Scientist
12730,30-34,Woman,Russia,I prefer not to answer,2,Under 1 year,Other,Small,8750.0,Data Analyst
12731,45-49,Man,Germany,Doctoral degree,2,2-3 years,Medical/Pharmaceutical,Large,137500.0,Other
12734,45-49,Man,Spain,Master’s degree,3,Under 1 year,Accounting/Finance,Large,45000.0,Data Analyst
12735,22-24,Man,USA,Master’s degree,1,1-2 years,Academics/Education,Small,500.0,Data Engineer
12736,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,22500.0,Data Engineer
12738,35-39,Man,Russia,Master’s degree,2,5-10 years,Academics/Education,Medium,35000.0,Data Scientist
12739,30-34,Man,India,Master’s degree,1,5-10 years,Accounting/Finance,Large,65000.0,Data Analyst
12741,40-44,Man,USA,Master’s degree,2,2-3 years,Government/Public Service,Large,55000.0,Data Scientist
12743,55-59,Man,Denmark,Some college,3,4-5 years,Computers/Technology,Large,175000.0,Other
12744,45-49,Man,USA,Master’s degree,1,1-2 years,Manufacturing/Fabrication,Large,137500.0,Data Analyst
12746,35-39,Woman,USA,Master’s degree,1,1-2 years,Academics/Education,Large,12500.0,Other
12747,30-34,Woman,Greece,Doctoral degree,1,2-3 years,Academics/Education,Medium,17500.0,Data Scientist
12748,40-44,Man,Italy,Master’s degree,3,3-4 years,Shipping/Transportation,Large,85000.0,Data Analyst
12749,25-29,Man,Russia,Master’s degree,3,Under 1 year,Computers/Technology,Medium,27500.0,Data Engineer
12751,45-49,Man,USA,Doctoral degree,4,5-10 years,Medical/Pharmaceutical,Large,175000.0,Data Scientist
12752,25-29,Man,India,Master’s degree,1,1-2 years,Online Service/Internet-based Services,Medium,12500.0,Data Engineer
12753,35-39,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Small,500.0,Other
12755,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Hospitality/Entertainment/Sports,Small,2500.0,Other
12763,30-34,Man,USA,Bachelor’s degree,1,Under 1 year,Academics/Education,Large,65000.0,Data Analyst
12769,25-29,Woman,USA,Bachelor’s degree,2,1-2 years,Online Service/Internet-based Services,Medium,85000.0,Data Scientist
12770,40-44,Man,Germany,Master’s degree,1,Under 1 year,Other,Small,55000.0,Other
12772,30-34,Man,India,Bachelor’s degree,1,1-2 years,Government/Public Service,Large,500.0,Data Engineer
12773,22-24,Man,UK,Master’s degree,3,3-4 years,Academics/Education,Large,12500.0,Data Engineer
12778,30-34,Woman,UK,Master’s degree,2,5-10 years,Retail/Sales,Large,75000.0,Data Analyst
12781,30-34,Man,Switzerland,Master’s degree,2,4-5 years,Computers/Technology,Large,137500.0,Data Engineer
12784,55-59,Man,USA,Doctoral degree,1,3-4 years,Academics/Education,Large,137500.0,Data Scientist
12785,22-24,Man,India,Bachelor’s degree,2,3-4 years,Computers/Technology,Large,35000.0,Data Engineer
12787,25-29,Woman,India,Master’s degree,1,No experience,Manufacturing/Fabrication,Large,12500.0,Data Engineer
12790,22-24,Woman,India,Bachelor’s degree,3,Under 1 year,Accounting/Finance,Large,6250.0,Data Engineer
12792,45-49,Man,India,Master’s degree,2,5-10 years,Academics/Education,Large,55000.0,Other
12793,55-59,Man,India,Bachelor’s degree,4,4-5 years,Computers/Technology,Large,22500.0,Data Scientist
