,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
11116,25-29,Man,Italy,Doctoral degree,10-20 years,3,3-4 years,Academics/Education,Small,22500.0,Data Scientist
11130,25-29,Man,Italy,Master’s degree,3-5 years,4,3-4 years,Accounting/Finance,Small,27500.0,Data Scientist
11138,25-29,Man,Russia,Bachelor’s degree,< 1 years,2,Under 1 year,Computers/Technology,Medium,12500.0,Data Scientist
11143,35-39,Woman,Portugal,Master’s degree,3-5 years,1,Under 1 year,Computers/Technology,Large,27500.0,Data Analyst
11160,35-39,Man,Spain,High school,5-10 years,3,No experience,Online Service/Internet-based Services,No team,55000.0,Data Engineer
11164,35-39,Man,UK,High school,< 1 years,1,Under 1 year,Computers/Technology,Small,35000.0,Data Analyst
11167,25-29,Man,UK,Bachelor’s degree,1-3 years,1,Under 1 year,Energy/Mining,Small,45000.0,Data Scientist
11168,25-29,Man,Portugal,Master’s degree,1-3 years,2,Under 1 year,Computers/Technology,Small,22500.0,Data Scientist
11173,30-34,Man,Netherlands,Master’s degree,5-10 years,4,5-10 years,Accounting/Finance,Large,112500.0,Data Engineer
11176,30-34,Man,Belarus,Bachelor’s degree,1-3 years,2,1-2 years,Energy/Mining,No team,17500.0,Data Scientist
11180,25-29,Man,France,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Small,55000.0,Other
11189,25-29,Man,Russia,Bachelor’s degree,3-5 years,1,4-5 years,Other,Small,27500.0,Data Scientist
11191,50-54,Man,Russia,I prefer not to answer,10-20 years,2,1-2 years,Marketing/CRM,Small,500.0,Data Analyst
11197,22-24,Man,Russia,Master’s degree,5-10 years,3,1-2 years,Online Service/Internet-based Services,Large,8750.0,Data Engineer
11202,40-44,Man,Poland,Master’s degree,3-5 years,2,3-4 years,Computers/Technology,Small,35000.0,Data Scientist
11205,40-44,Man,UK,Some college,< 1 years,2,Under 1 year,Shipping/Transportation,No team,35000.0,Data Analyst
11209,25-29,Man,France,Master’s degree,3-5 years,2,2-3 years,Non-profit/Service,Large,45000.0,Data Scientist
11213,35-39,Woman,Russia,Bachelor’s degree,< 1 years,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
11220,30-34,Man,Russia,Doctoral degree,3-5 years,3,1-2 years,Energy/Mining,Large,17500.0,Data Analyst
11239,25-29,Man,Czech Republic,Master’s degree,10-20 years,3,4-5 years,Accounting/Finance,Large,3500.0,Data Scientist
11243,45-49,Woman,Spain,Master’s degree,< 1 years,1,Under 1 year,Other,Small,500.0,Data Analyst
11252,50-54,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Shipping/Transportation,Small,55000.0,Data Analyst
11254,22-24,Man,UK,Master’s degree,< 1 years,2,No experience,Marketing/CRM,Large,45000.0,Data Analyst
11258,35-39,Man,Greece,Doctoral degree,10-20 years,4,2-3 years,Academics/Education,Medium,12500.0,Data Scientist
11271,35-39,Woman,UK,Doctoral degree,10-20 years,3,5-10 years,Online Business/Internet-based Sales,Large,112500.0,Other
11290,25-29,Man,Denmark,Master’s degree,5-10 years,4,4-5 years,Energy/Mining,Small,65000.0,Data Analyst
11293,35-39,Man,Italy,Master’s degree,1-3 years,3,2-3 years,Medical/Pharmaceutical,Large,35000.0,Data Analyst
11298,25-29,Man,Russia,Master’s degree,3-5 years,2,1-2 years,Online Business/Internet-based Sales,Large,27500.0,Data Scientist
11303,25-29,Man,Ukraine,Master’s degree,< 1 years,1,No experience,Medical/Pharmaceutical,No team,6250.0,Data Analyst
11309,22-24,Man,Ukraine,Doctoral degree,< 1 years,2,Under 1 year,Medical/Pharmaceutical,Medium,4500.0,Data Scientist
11315,45-49,Man,Italy,Master’s degree,5-10 years,1,1-2 years,Medical/Pharmaceutical,Small,35000.0,Data Analyst
11321,45-49,Man,Russia,Bachelor’s degree,< 1 years,1,No experience,Retail/Sales,Medium,12500.0,Data Analyst
11329,22-24,Man,UK,Some college,3-5 years,2,No experience,Energy/Mining,Small,45000.0,Data Analyst
11334,25-29,Woman,Russia,Doctoral degree,5-10 years,4,5-10 years,Computers/Technology,Medium,12500.0,Data Engineer
11335,50-54,Man,Sweden,Some college,1-3 years,1,No experience,Broadcasting/Communications,Medium,55000.0,Other
11340,50-54,Man,UK,Master’s degree,20+ years,4,3-4 years,Computers/Technology,Small,75000.0,Data Engineer
11343,40-44,Man,Greece,Master’s degree,1-3 years,1,1-2 years,Computers/Technology,No team,112500.0,Other
11357,35-39,Man,Spain,Master’s degree,20+ years,3,5-10 years,Computers/Technology,Small,137500.0,Data Scientist
11362,25-29,Other,Italy,Master’s degree,< 1 years,3,1-2 years,Marketing/CRM,Small,6250.0,Data Analyst
11364,30-34,Man,Ireland,Bachelor’s degree,1-3 years,4,Under 1 year,Hospitality/Entertainment/Sports,Small,35000.0,Other
11365,25-29,Man,Poland,Master’s degree,3-5 years,3,5-10 years,Manufacturing/Fabrication,Large,45000.0,Data Engineer
11370,22-24,Man,Russia,Master’s degree,5-10 years,1,Under 1 year,Military/Security/Defense,No team,12500.0,Other
11380,25-29,Man,Poland,Bachelor’s degree,5-10 years,4,2-3 years,Manufacturing/Fabrication,Large,45000.0,Data Scientist
11387,30-34,Man,Germany,Master’s degree,10-20 years,4,5-10 years,Marketing/CRM,Small,112500.0,Data Scientist
11397,35-39,Man,UK,Bachelor’s degree,1-3 years,1,2-3 years,Manufacturing/Fabrication,Large,75000.0,Other
11399,55-59,Man,Russia,High school,5-10 years,2,2-3 years,Accounting/Finance,Small,12500.0,Data Scientist
11409,35-39,Woman,Italy,Master’s degree,< 1 years,2,Under 1 year,Computers/Technology,Small,65000.0,Data Scientist
11415,25-29,Man,Italy,Master’s degree,1-3 years,1,Under 1 year,Energy/Mining,Large,22500.0,Data Analyst
11418,45-49,Man,Poland,Doctoral degree,20+ years,3,5-10 years,Academics/Education,Small,22500.0,Data Scientist
11432,25-29,Man,Sweden,Master’s degree,5-10 years,2,2-3 years,Non-profit/Service,Small,500.0,Data Engineer
11437,40-44,Man,Sweden,Doctoral degree,10-20 years,1,5-10 years,Computers/Technology,Medium,55000.0,Data Scientist
11441,50-54,Man,Portugal,Bachelor’s degree,10-20 years,3,Under 1 year,Military/Security/Defense,No team,55000.0,Data Analyst
11442,25-29,Man,Poland,Bachelor’s degree,5-10 years,2,4-5 years,Online Service/Internet-based Services,Small,6250.0,Data Analyst
11446,40-44,Man,Spain,Doctoral degree,1-3 years,2,2-3 years,Government/Public Service,Small,45000.0,Data Scientist
11449,40-44,Woman,Netherlands,Doctoral degree,10-20 years,4,2-3 years,Academics/Education,Large,65000.0,Data Scientist
11451,22-24,Man,Netherlands,Master’s degree,3-5 years,2,2-3 years,Marketing/CRM,Large,65000.0,Data Scientist
11453,25-29,Man,UK,Bachelor’s degree,5-10 years,1,Under 1 year,Military/Security/Defense,Large,45000.0,Data Scientist
11469,30-34,Man,Italy,High school,10-20 years,2,5-10 years,Accounting/Finance,Medium,75000.0,Data Analyst
11491,55-59,Man,Spain,Bachelor’s degree,1-3 years,1,No experience,Retail/Sales,No team,22500.0,Other
11492,45-49,Woman,UK,Some college,< 1 years,1,No experience,Other,Large,35000.0,Other
11522,45-49,Man,Portugal,Master’s degree,3-5 years,3,2-3 years,Academics/Education,Small,27500.0,Data Analyst
11528,22-24,Man,Russia,Doctoral degree,< 1 years,1,No experience,Academics/Education,Small,500.0,Data Analyst
11530,40-44,Man,Greece,Master’s degree,< 1 years,2,Under 1 year,Government/Public Service,No team,17500.0,Data Analyst
11532,25-29,Woman,France,Doctoral degree,5-10 years,1,4-5 years,Online Service/Internet-based Services,Small,55000.0,Data Scientist
11541,45-49,Woman,UK,Master’s degree,< 1 years,2,1-2 years,Online Business/Internet-based Sales,Small,27500.0,Other
11544,35-39,Man,Russia,Bachelor’s degree,1-3 years,2,1-2 years,Academics/Education,Small,12500.0,Data Scientist
11548,25-29,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Accounting/Finance,Small,85000.0,Data Scientist
11557,22-24,Woman,Russia,Bachelor’s degree,1-3 years,4,Under 1 year,Computers/Technology,Medium,1500.0,Data Analyst
11558,25-29,Man,Spain,Master’s degree,1-3 years,1,Under 1 year,Computers/Technology,Medium,27500.0,Data Engineer
11563,35-39,Woman,Spain,Master’s degree,5-10 years,4,4-5 years,Academics/Education,Small,35000.0,Data Scientist
11565,22-24,Man,Czech Republic,Bachelor’s degree,1-3 years,3,1-2 years,Insurance/Risk Assessment,Small,45000.0,Data Scientist
11575,40-44,Man,France,Master’s degree,3-5 years,1,1-2 years,Medical/Pharmaceutical,Small,75000.0,Data Scientist
11576,40-44,Man,Poland,Master’s degree,1-3 years,1,2-3 years,Manufacturing/Fabrication,Large,112500.0,Data Scientist
11579,30-34,Man,Germany,Master’s degree,5-10 years,1,1-2 years,Accounting/Finance,Small,75000.0,Data Scientist
11586,35-39,Man,UK,Doctoral degree,5-10 years,1,No experience,Accounting/Finance,Large,112500.0,Data Analyst
11592,35-39,Man,Russia,High school,< 1 years,1,Under 1 year,Online Business/Internet-based Sales,Small,500.0,Data Engineer
11601,40-44,Man,Germany,Doctoral degree,10-20 years,4,1-2 years,Medical/Pharmaceutical,Small,500.0,Other
11603,40-44,Man,Russia,Master’s degree,10-20 years,3,5-10 years,Computers/Technology,Small,65000.0,Data Scientist
11607,30-34,Man,Italy,Master’s degree,3-5 years,2,1-2 years,Military/Security/Defense,Small,35000.0,Data Engineer
11613,30-34,Man,Denmark,Doctoral degree,5-10 years,4,5-10 years,Medical/Pharmaceutical,Large,112500.0,Data Scientist
11616,25-29,Man,UK,Bachelor’s degree,1-3 years,3,Under 1 year,Other,No team,35000.0,Other
11622,35-39,Woman,Russia,Master’s degree,5-10 years,2,No experience,Computers/Technology,Large,27500.0,Data Engineer
11624,40-44,Man,UK,Bachelor’s degree,10-20 years,3,4-5 years,Computers/Technology,Large,112500.0,Data Engineer
11630,35-39,Man,Russia,I prefer not to answer,1-3 years,2,Under 1 year,Accounting/Finance,No team,8750.0,Data Analyst
11648,40-44,Man,Italy,Bachelor’s degree,10-20 years,3,Under 1 year,Hospitality/Entertainment/Sports,Small,45000.0,Data Analyst
11651,40-44,Man,UK,Some college,10-20 years,4,2-3 years,Other,Small,112500.0,Data Engineer
11654,35-39,Man,Russia,High school,< 1 years,1,No experience,Other,No team,2500.0,Data Analyst
11656,30-34,Man,Ireland,Master’s degree,5-10 years,2,5-10 years,Computers/Technology,Small,95000.0,Data Scientist
11657,25-29,Man,Spain,Master’s degree,3-5 years,2,No experience,Online Service/Internet-based Services,Small,55000.0,Data Scientist
11661,30-34,Man,Ireland,Master’s degree,1-3 years,1,2-3 years,Accounting/Finance,Medium,45000.0,Data Engineer
11663,18-21,Man,France,Master’s degree,< 1 years,2,No experience,Academics/Education,No team,500.0,Data Analyst
11667,25-29,Man,Poland,Master’s degree,1-3 years,2,Under 1 year,Retail/Sales,Small,1500.0,Data Analyst
11674,50-54,Man,Spain,Doctoral degree,20+ years,1,5-10 years,Academics/Education,Small,2500.0,Data Scientist
11680,30-34,Man,Germany,Some college,3-5 years,2,Under 1 year,Shipping/Transportation,Large,65000.0,Data Analyst
11681,40-44,Man,Russia,Master’s degree,20+ years,3,1-2 years,Energy/Mining,Small,27500.0,Data Analyst
11693,30-34,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Academics/Education,Large,85000.0,Data Analyst
11694,25-29,Man,Portugal,Master’s degree,3-5 years,2,3-4 years,Online Service/Internet-based Services,Small,95000.0,Data Scientist
11698,22-24,Woman,UK,Doctoral degree,5-10 years,2,Under 1 year,Academics/Education,Large,22500.0,Data Scientist
11703,40-44,Man,Romania,Master’s degree,20+ years,2,4-5 years,Accounting/Finance,Small,75000.0,Data Engineer
11710,30-34,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Online Service/Internet-based Services,No team,500.0,Data Engineer
11716,30-34,Woman,Ukraine,Master’s degree,< 1 years,2,No experience,Accounting/Finance,No team,500.0,Data Scientist
11717,40-44,Man,UK,Master’s degree,20+ years,2,No experience,Government/Public Service,No team,137500.0,Data Analyst
11726,45-49,Woman,Czech Republic,Doctoral degree,10-20 years,1,4-5 years,Computers/Technology,Large,22500.0,Data Scientist
11735,40-44,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Computers/Technology,Small,85000.0,Data Engineer
11746,25-29,Man,Russia,Master’s degree,5-10 years,3,1-2 years,Online Business/Internet-based Sales,Medium,35000.0,Data Analyst
11750,18-21,Man,Denmark,Bachelor’s degree,1-3 years,3,1-2 years,Shipping/Transportation,Small,12500.0,Data Engineer
11766,45-49,Man,Austria,Master’s degree,5-10 years,4,2-3 years,Retail/Sales,Small,65000.0,Data Engineer
11770,25-29,Woman,Germany,Master’s degree,1-3 years,3,Under 1 year,Computers/Technology,Large,55000.0,Data Engineer
11786,30-34,Man,Russia,Master’s degree,5-10 years,4,3-4 years,Retail/Sales,Medium,4500.0,Data Engineer
11791,22-24,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Accounting/Finance,Large,45000.0,Other
11793,45-49,Man,Spain,Master’s degree,20+ years,1,Under 1 year,Computers/Technology,No team,35000.0,Data Engineer
11794,30-34,Man,Russia,Doctoral degree,1-3 years,1,Under 1 year,Academics/Education,Medium,35000.0,Data Scientist
11810,50-54,Man,Russia,Master’s degree,5-10 years,1,No experience,Computers/Technology,No team,500.0,Data Scientist
11816,50-54,Man,Poland,Professional doctorate,20+ years,4,4-5 years,Government/Public Service,Small,27500.0,Data Scientist
11825,55-59,Man,Sweden,Master’s degree,5-10 years,3,1-2 years,Military/Security/Defense,Large,75000.0,Data Scientist
11829,35-39,Woman,Spain,Master’s degree,< 1 years,2,Under 1 year,Online Service/Internet-based Services,Small,45000.0,Data Analyst
11830,45-49,Woman,UK,Doctoral degree,20+ years,2,2-3 years,Computers/Technology,Large,137500.0,Data Scientist
11833,45-49,Man,Italy,Master’s degree,1-3 years,1,Under 1 year,Other,No team,27500.0,Data Analyst
11845,30-34,Man,Greece,Master’s degree,5-10 years,4,5-10 years,Retail/Sales,Small,35000.0,Data Scientist
11849,25-29,Man,Russia,Master’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,No team,27500.0,Data Analyst
11852,40-44,Man,Germany,I prefer not to answer,3-5 years,1,No experience,Manufacturing/Fabrication,No team,45000.0,Other
11854,35-39,Woman,UK,Doctoral degree,5-10 years,3,1-2 years,Academics/Education,Large,45000.0,Data Scientist
11858,25-29,Woman,UK,Master’s degree,< 1 years,2,No experience,Academics/Education,No team,22500.0,Other
11863,50-54,Man,France,Master’s degree,5-10 years,2,1-2 years,Insurance/Risk Assessment,Large,112500.0,Other
11874,50-54,Man,Sweden,Doctoral degree,20+ years,2,5-10 years,Broadcasting/Communications,Small,112500.0,Data Scientist
11876,35-39,Man,Germany,Doctoral degree,10-20 years,3,5-10 years,Energy/Mining,Small,112500.0,Data Scientist
11884,30-34,Man,UK,Master’s degree,10-20 years,2,4-5 years,Computers/Technology,Small,65000.0,Data Engineer
11886,25-29,Woman,Poland,Master’s degree,5-10 years,1,Under 1 year,Academics/Education,No team,2500.0,Data Scientist
11894,25-29,Man,UK,Master’s degree,1-3 years,1,No experience,Academics/Education,Small,27500.0,Other
11897,18-21,Man,Russia,Bachelor’s degree,3-5 years,2,Under 1 year,Other,Small,1500.0,Data Scientist
11899,22-24,Woman,Belarus,Master’s degree,1-3 years,2,2-3 years,Manufacturing/Fabrication,Small,27500.0,Data Analyst
11905,22-24,Man,Poland,Bachelor’s degree,3-5 years,3,1-2 years,Broadcasting/Communications,Small,45000.0,Data Engineer
11917,22-24,Man,France,Master’s degree,3-5 years,1,2-3 years,Computers/Technology,Small,1500.0,Data Scientist
11919,45-49,Man,Germany,Bachelor’s degree,< 1 years,2,No experience,Computers/Technology,Small,75000.0,Data Scientist
11924,25-29,Woman,Italy,Master’s degree,3-5 years,2,2-3 years,Computers/Technology,Small,22500.0,Data Scientist
11931,35-39,Man,Netherlands,Bachelor’s degree,5-10 years,4,Under 1 year,Accounting/Finance,No team,500.0,Data Engineer
11936,40-44,Man,Italy,Master’s degree,5-10 years,3,1-2 years,Hospitality/Entertainment/Sports,Small,22500.0,Data Analyst
11939,50-54,Man,UK,Master’s degree,10-20 years,4,5-10 years,Computers/Technology,Small,137500.0,Data Scientist
11941,50-54,Woman,UK,Doctoral degree,20+ years,2,20 or more years,Academics/Education,Medium,112500.0,Data Scientist
11942,30-34,Man,France,Doctoral degree,5-10 years,1,5-10 years,Computers/Technology,Small,55000.0,Data Scientist
11946,25-29,Man,Germany,Some college,3-5 years,3,1-2 years,Computers/Technology,No team,35000.0,Data Analyst
11947,45-49,Man,Spain,Master’s degree,3-5 years,2,3-4 years,Accounting/Finance,Small,35000.0,Data Analyst
11951,50-54,Man,Netherlands,Master’s degree,20+ years,2,No experience,Academics/Education,Small,75000.0,Other
11953,25-29,Man,France,Master’s degree,10-20 years,1,Under 1 year,Energy/Mining,No team,65000.0,Other
11955,30-34,Man,Russia,Master’s degree,5-10 years,2,5-10 years,Computers/Technology,Large,35000.0,Data Scientist
11957,55-59,Man,UK,Master’s degree,3-5 years,3,1-2 years,Other,Small,35000.0,Other
11960,50-54,Man,Spain,Doctoral degree,20+ years,1,2-3 years,Academics/Education,Small,35000.0,Data Scientist
11961,35-39,Man,Ukraine,High school,1-3 years,1,1-2 years,Online Service/Internet-based Services,Small,8750.0,Data Engineer
11964,25-29,Man,Switzerland,Master’s degree,1-3 years,1,Under 1 year,Academics/Education,Large,3500.0,Data Scientist
11965,30-34,Man,Greece,Master’s degree,5-10 years,2,3-4 years,Other,Small,35000.0,Data Scientist
11967,35-39,Man,Italy,Doctoral degree,10-20 years,1,2-3 years,Other,Small,55000.0,Data Engineer
11972,25-29,Man,Poland,Master’s degree,< 1 years,2,Under 1 year,Retail/Sales,Medium,17500.0,Data Analyst
11979,50-54,Woman,Germany,Professional doctorate,10-20 years,1,No experience,Government/Public Service,Medium,3500.0,Data Analyst
11980,35-39,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Computers/Technology,Small,12500.0,Other
11981,30-34,Man,France,Doctoral degree,5-10 years,3,5-10 years,Academics/Education,Large,35000.0,Data Scientist
11983,30-34,Woman,Belarus,Some college,< 1 years,1,Under 1 year,Computers/Technology,Small,500.0,Other
11989,40-44,Other,Spain,Master’s degree,10-20 years,2,10-20 years,Academics/Education,Medium,55000.0,Data Scientist
11990,40-44,Man,Spain,Master’s degree,20+ years,4,No experience,Academics/Education,No team,27500.0,Data Engineer
11994,30-34,Man,France,Master’s degree,5-10 years,2,2-3 years,Online Service/Internet-based Services,Small,65000.0,Data Scientist
11995,30-34,Man,Russia,Master’s degree,3-5 years,2,Under 1 year,Energy/Mining,Small,12500.0,Data Analyst
11999,25-29,Man,Russia,Master’s degree,1-3 years,3,Under 1 year,Shipping/Transportation,No team,12500.0,Data Scientist
12001,35-39,Man,Poland,Master’s degree,10-20 years,3,10-20 years,Computers/Technology,Large,112500.0,Data Scientist
12003,35-39,Woman,Portugal,Doctoral degree,10-20 years,2,2-3 years,Other,Small,27500.0,Data Analyst
12010,25-29,Man,Russia,Doctoral degree,10-20 years,3,5-10 years,Online Service/Internet-based Services,Small,55000.0,Data Engineer
12011,35-39,Man,Ukraine,Master’s degree,5-10 years,3,1-2 years,Academics/Education,Small,12500.0,Data Scientist
12012,40-44,Woman,Germany,Master’s degree,10-20 years,4,4-5 years,Computers/Technology,No team,112500.0,Data Engineer
12016,45-49,Man,Italy,Master’s degree,5-10 years,1,1-2 years,Energy/Mining,Large,500.0,Other
12027,40-44,Man,Ukraine,Master’s degree,20+ years,4,5-10 years,Online Business/Internet-based Sales,Small,75000.0,Data Engineer
12037,30-34,Man,Netherlands,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,Small,65000.0,Data Scientist
12042,22-24,Man,Russia,Master’s degree,1-3 years,3,Under 1 year,Accounting/Finance,Small,500.0,Data Analyst
12047,35-39,Other,UK,Doctoral degree,5-10 years,4,Under 1 year,Medical/Pharmaceutical,Small,500.0,Data Scientist
12048,30-34,Man,Romania,Master’s degree,1-3 years,1,1-2 years,Medical/Pharmaceutical,Medium,22500.0,Data Engineer
12049,25-29,Man,France,Master’s degree,3-5 years,4,3-4 years,Other,Large,65000.0,Data Scientist
12052,25-29,Man,France,Master’s degree,3-5 years,3,2-3 years,Marketing/CRM,Small,55000.0,Data Scientist
12053,25-29,Man,Greece,Bachelor’s degree,5-10 years,2,Under 1 year,Marketing/CRM,Small,500.0,Data Analyst
12057,30-34,Man,Italy,Master’s degree,3-5 years,2,4-5 years,Computers/Technology,Small,75000.0,Other
12062,50-54,Man,Poland,Professional doctorate,10-20 years,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
12063,25-29,Man,Spain,Master’s degree,< 1 years,3,Under 1 year,Insurance/Risk Assessment,No team,22500.0,Other
12070,35-39,Man,UK,Some college,10-20 years,1,No experience,Insurance/Risk Assessment,Large,35000.0,Data Analyst
12075,40-44,Man,Ukraine,Master’s degree,3-5 years,3,Under 1 year,Accounting/Finance,No team,12500.0,Data Engineer
12096,40-44,Man,France,Master’s degree,1-3 years,1,No experience,Broadcasting/Communications,Medium,45000.0,Data Analyst
12117,55-59,Man,Belgium,Master’s degree,20+ years,1,4-5 years,Accounting/Finance,Large,75000.0,Other
12118,50-54,Man,Spain,Master’s degree,20+ years,4,5-10 years,Military/Security/Defense,No team,55000.0,Other
12125,25-29,Man,Italy,Master’s degree,1-3 years,1,Under 1 year,Manufacturing/Fabrication,No team,35000.0,Other
12126,50-54,Man,Spain,Doctoral degree,20+ years,3,10-20 years,Academics/Education,No team,35000.0,Data Engineer
12128,25-29,Man,UK,Some college,5-10 years,3,3-4 years,Computers/Technology,Large,85000.0,Data Engineer
12131,50-54,Man,UK,Master’s degree,10-20 years,4,Under 1 year,Retail/Sales,No team,65000.0,Data Engineer
12139,45-49,Man,Russia,I prefer not to answer,< 1 years,1,No experience,Retail/Sales,Small,6250.0,Data Engineer
12141,40-44,Man,Germany,Doctoral degree,10-20 years,2,Under 1 year,Manufacturing/Fabrication,Small,95000.0,Data Analyst
12150,25-29,Man,Italy,Doctoral degree,3-5 years,3,Under 1 year,Academics/Education,Small,17500.0,Data Scientist
12154,25-29,Man,Switzerland,Master’s degree,1-3 years,2,1-2 years,Manufacturing/Fabrication,Small,85000.0,Data Analyst
12155,35-39,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Small,85000.0,Data Scientist
12158,18-21,Woman,Russia,Bachelor’s degree,1-3 years,2,1-2 years,Online Service/Internet-based Services,Small,2500.0,Data Engineer
12164,35-39,Man,Germany,Doctoral degree,1-3 years,1,Under 1 year,Other,No team,12500.0,Data Analyst
12174,40-44,Man,Switzerland,Professional doctorate,10-20 years,2,4-5 years,Insurance/Risk Assessment,Large,137500.0,Data Scientist
12176,25-29,Man,Spain,Doctoral degree,5-10 years,4,No experience,Academics/Education,Small,17500.0,Data Scientist
12180,40-44,Woman,Italy,Doctoral degree,5-10 years,2,Under 1 year,Computers/Technology,Small,45000.0,Data Engineer
12181,25-29,Man,Ireland,Master’s degree,3-5 years,2,3-4 years,Retail/Sales,Small,45000.0,Other
12204,25-29,Man,Italy,Master’s degree,3-5 years,1,Under 1 year,Marketing/CRM,No team,45000.0,Data Analyst
12205,50-54,Man,Portugal,Master’s degree,20+ years,2,1-2 years,Academics/Education,Small,35000.0,Data Engineer
12212,25-29,Woman,Portugal,Master’s degree,3-5 years,3,3-4 years,Online Business/Internet-based Sales,Small,45000.0,Data Scientist
12213,35-39,Man,Spain,Bachelor’s degree,< 1 years,3,Under 1 year,Manufacturing/Fabrication,No team,2500.0,Data Scientist
12222,45-49,Man,Poland,Doctoral degree,10-20 years,1,4-5 years,Academics/Education,Medium,2500.0,Data Scientist
12231,25-29,Man,Germany,Bachelor’s degree,3-5 years,2,Under 1 year,Computers/Technology,No team,55000.0,Data Engineer
12238,35-39,Woman,Russia,Doctoral degree,< 1 years,1,No experience,Academics/Education,Medium,12500.0,Data Analyst
12241,55-59,Woman,Netherlands,Master’s degree,1-3 years,2,1-2 years,Academics/Education,Medium,65000.0,Other
12244,35-39,Man,Netherlands,Doctoral degree,1-3 years,4,2-3 years,Academics/Education,Large,500.0,Data Scientist
12249,35-39,Man,France,Master’s degree,3-5 years,2,Under 1 year,Academics/Education,No team,3500.0,Data Analyst
12251,40-44,Woman,Ireland,Master’s degree,5-10 years,2,No experience,Computers/Technology,Small,45000.0,Other
12252,25-29,Man,Russia,Master’s degree,5-10 years,1,No experience,Computers/Technology,Large,12500.0,Data Engineer
12255,45-49,Man,UK,Master’s degree,20+ years,2,No experience,Broadcasting/Communications,Small,65000.0,Data Analyst
12258,50-54,Man,France,Master’s degree,20+ years,4,5-10 years,Other,Large,65000.0,Data Engineer
12266,35-39,Man,France,Master’s degree,10-20 years,1,No experience,Accounting/Finance,Large,137500.0,Data Analyst
12271,25-29,Woman,Spain,Bachelor’s degree,< 1 years,3,No experience,Accounting/Finance,Small,1500.0,Data Analyst
12274,25-29,Man,Germany,Master’s degree,1-3 years,2,1-2 years,Broadcasting/Communications,Small,1500.0,Other
12277,30-34,Man,UK,Master’s degree,3-5 years,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
12287,40-44,Man,Germany,Doctoral degree,10-20 years,3,10-20 years,Academics/Education,Small,112500.0,Other
12299,25-29,Man,Russia,Bachelor’s degree,3-5 years,1,No experience,Marketing/CRM,Large,22500.0,Data Analyst
12300,22-24,Woman,Ukraine,Master’s degree,3-5 years,3,1-2 years,Broadcasting/Communications,Small,12500.0,Data Analyst
12304,25-29,Man,Germany,Master’s degree,5-10 years,1,3-4 years,Academics/Education,Medium,55000.0,Data Scientist
12315,25-29,Man,Spain,Master’s degree,1-3 years,3,1-2 years,Academics/Education,Large,500.0,Data Scientist
12320,50-54,Man,Sweden,Some college,< 1 years,2,No experience,Computers/Technology,Large,65000.0,Other
12331,35-39,Man,Spain,Bachelor’s degree,1-3 years,2,Under 1 year,Hospitality/Entertainment/Sports,Small,22500.0,Other
12336,35-39,Woman,Russia,Bachelor’s degree,< 1 years,1,No experience,Accounting/Finance,Large,1500.0,Data Analyst
12339,25-29,Man,Germany,Master’s degree,5-10 years,3,2-3 years,Academics/Education,Small,65000.0,Data Scientist
12343,30-34,Woman,UK,Bachelor’s degree,1-3 years,1,Under 1 year,Government/Public Service,Medium,35000.0,Other
12367,25-29,Woman,Portugal,Doctoral degree,5-10 years,3,4-5 years,Academics/Education,Small,500.0,Data Scientist
12371,40-44,Man,Portugal,Bachelor’s degree,10-20 years,1,Under 1 year,Online Service/Internet-based Services,Small,17500.0,Data Analyst
12376,18-21,Man,Italy,Bachelor’s degree,1-3 years,1,Under 1 year,Other,Small,65000.0,Data Scientist
12380,30-34,Man,Romania,High school,3-5 years,3,4-5 years,Accounting/Finance,Small,35000.0,Data Scientist
12381,35-39,Man,France,Master’s degree,10-20 years,1,10-20 years,Energy/Mining,Large,75000.0,Data Scientist
12385,55-59,Man,France,Doctoral degree,10-20 years,2,1-2 years,Other,Small,6250.0,Data Scientist
12386,35-39,Man,Germany,Master’s degree,10-20 years,2,2-3 years,Energy/Mining,Small,95000.0,Data Analyst
12390,35-39,Woman,Romania,Master’s degree,10-20 years,3,4-5 years,Energy/Mining,Small,22500.0,Data Scientist
12395,40-44,Man,France,Doctoral degree,5-10 years,2,4-5 years,Computers/Technology,Large,45000.0,Data Scientist
12398,50-54,Man,Spain,Master’s degree,5-10 years,2,4-5 years,Accounting/Finance,Large,112500.0,Data Scientist
12410,25-29,Man,Poland,Master’s degree,5-10 years,2,3-4 years,Other,Small,35000.0,Data Engineer
