,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
18889,35-39,Man,Iraq,Master’s degree,Research Scientist,< 1 years,3,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
18892,35-39,Man,India,Master’s degree,Product Manager,1-3 years,1,2-3 years,Computers/Technology,"10,000 or more employees",5-9,150000-199999,India,Large,Small,Data Analyst,175000.0,more than 125k
18893,25-29,Man,India,Master’s degree,Software Engineer,3-5 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,5000-7499,India,Large,Small,Data Engineer,6250.0,less than 10k
18895,30-34,Man,Thailand,Master’s degree,Developer Relations/Advocacy,5-10 years,3,1-2 years,Government/Public Service,50-249 employees,3-4,2000-2999,Other,Medium,Small,Data Engineer,2500.0,less than 10k
18896,30-34,Man,Japan,Master’s degree,Data Scientist,3-5 years,1,3-4 years,Manufacturing/Fabrication,"1000-9,999 employees",5-9,80000-89999,Other,Large,Small,Data Scientist,85000.0,between 80k and 125k
18897,40-44,Man,India,Master’s degree,Software Engineer,10-20 years,2,4-5 years,Computers/Technology,"10,000 or more employees",20+,40000-49999,India,Large,Large,Data Engineer,45000.0,between 30k and 50k
18898,40-44,Man,Spain,Master’s degree,Other,10-20 years,1,5-10 years,Online Service/Internet-based Services,"1000-9,999 employees",20+,125000-149999,Europe,Large,Large,Other,137500.0,more than 125k
18899,25-29,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,3-5 years,1,2-3 years,Online Service/Internet-based Services,0-49 employees,15-19,7500-9999,Other,Small,Medium,Data Engineer,8750.0,less than 10k
18901,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,2000-2999,India,Large,Large,Data Engineer,2500.0,less than 10k
18902,22-24,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Medical/Pharmaceutical,0-49 employees,3-4,0-999,India,Small,Small,Data Scientist,500.0,less than 10k
18904,40-44,Man,India,Bachelor’s degree,Software Engineer,10-20 years,2,No experience,Insurance/Risk Assessment,250-999 employees,5-9,1000-1999,India,Large,Small,Data Engineer,1500.0,less than 10k
18906,30-34,Man,India,Master’s degree,Software Engineer,5-10 years,5,No experience,Computers/Technology,"1000-9,999 employees",20+,3000-3999,India,Large,Large,Data Engineer,3500.0,less than 10k
18907,45-49,Man,Other,Doctoral degree,Data Analyst,5-10 years,1,Under 1 year,Hospitality/Entertainment/Sports,0-49 employees,1-2,5000-7499,Other,Small,Small,Data Analyst,6250.0,less than 10k
18912,45-49,Woman,Spain,Some college,Data Analyst,1-3 years,3,10-20 years,Computers/Technology,"10,000 or more employees",20+,25000-29999,Europe,Large,Large,Data Analyst,27500.0,between 10k and 30k
18913,30-34,Man,Canada,Master’s degree,Machine Learning Engineer,5-10 years,7,2-3 years,Academics/Education,0-49 employees,3-4,2000-2999,Other,Small,Small,Data Engineer,2500.0,less than 10k
18914,35-39,Man,Turkey,Doctoral degree,Research Scientist,10-20 years,5,10-20 years,Academics/Education,"1000-9,999 employees",0,1000-1999,Other,Large,No team,Data Scientist,1500.0,less than 10k
18916,30-34,Man,Other,Master’s degree,Other,1-3 years,1,1-2 years,Energy/Mining,"1000-9,999 employees",0,0-999,Other,Large,No team,Other,500.0,less than 10k
18917,50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ years,1,Under 1 year,Government/Public Service,"1000-9,999 employees",20+,125000-149999,Other,Large,Large,Data Analyst,137500.0,more than 125k
18918,30-34,Man,India,I prefer not to answer,Data Scientist,1-3 years,1,1-2 years,Online Service/Internet-based Services,50-249 employees,1-2,10000-14999,India,Medium,Small,Data Scientist,12500.0,between 10k and 30k
18919,25-29,Man,Kazakhstan,Master’s degree,Software Engineer,5-10 years,4,Under 1 year,Broadcasting/Communications,0-49 employees,0,10000-14999,Other,Small,No team,Data Engineer,12500.0,between 10k and 30k
18920,30-34,Man,Egypt,Bachelor’s degree,Data Analyst,3-5 years,7,1-2 years,Computers/Technology,50-249 employees,1-2,10000-14999,Other,Medium,Small,Data Analyst,12500.0,between 10k and 30k
18921,25-29,Man,UK,Master’s degree,Data Scientist,< 1 years,2,Under 1 year,Online Business/Internet-based Sales,0-49 employees,5-9,25000-29999,Europe,Small,Small,Data Scientist,27500.0,between 10k and 30k
18926,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,2,Under 1 year,Other,0-49 employees,0,0-999,India,Small,No team,Data Engineer,500.0,less than 10k
18929,25-29,Man,India,Professional doctorate,Machine Learning Engineer,1-3 years,2,2-3 years,Medical/Pharmaceutical,250-999 employees,10-14,0-999,India,Large,Medium,Data Engineer,500.0,less than 10k
18930,25-29,Man,India,Bachelor’s degree,Data Engineer,1-3 years,3,1-2 years,Computers/Technology,50-249 employees,20+,1000-1999,India,Medium,Large,Data Engineer,1500.0,less than 10k
18931,30-34,Man,Russia,Doctoral degree,Research Scientist,5-10 years,3,No experience,Academics/Education,250-999 employees,20+,40000-49999,Europe,Large,Large,Data Scientist,45000.0,between 30k and 50k
18933,25-29,Man,Singapore,Master’s degree,Data Scientist,3-5 years,3,2-3 years,Military/Security/Defense,0-49 employees,1-2,4000-4999,Other,Small,Small,Data Scientist,4500.0,less than 10k
18935,25-29,Man,Japan,Doctoral degree,Data Scientist,10-20 years,3,1-2 years,Accounting/Finance,0-49 employees,1-2,4000-4999,Other,Small,Small,Data Scientist,4500.0,less than 10k
18936,25-29,Man,Chile,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Retail/Sales,0-49 employees,10-14,3000-3999,Other,Small,Medium,Data Scientist,3500.0,less than 10k
18937,30-34,Man,India,Doctoral degree,Other,3-5 years,2,3-4 years,Academics/Education,250-999 employees,10-14,7500-9999,India,Large,Medium,Other,8750.0,less than 10k
18941,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,5-10 years,2,1-2 years,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
18943,45-49,Man,Italy,Doctoral degree,Research Scientist,20+ years,5,2-3 years,Academics/Education,"1000-9,999 employees",0,50000-59999,Europe,Large,No team,Data Scientist,55000.0,between 50k and 80k
18951,22-24,Man,Kenya,Some college,Other,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Other,500.0,less than 10k
18952,25-29,Woman,Denmark,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,125000-149999,Europe,Large,Large,Data Analyst,137500.0,more than 125k
18953,22-24,Man,Brazil,Bachelor’s degree,Software Engineer,5-10 years,3,2-3 years,Accounting/Finance,0-49 employees,1-2,nan,Other,Small,Small,Data Engineer,39176.716266486306,more than 125k
18954,22-24,Man,USA,Bachelor’s degree,Machine Learning Engineer,5-10 years,3,1-2 years,Academics/Education,"10,000 or more employees",3-4,0-999,USA,Large,Small,Data Engineer,500.0,less than 10k
18957,25-29,Man,Bangladesh,Master’s degree,Data Scientist,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
18958,40-44,Woman,India,Doctoral degree,Data Scientist,10-20 years,4,3-4 years,Online Service/Internet-based Services,0-49 employees,3-4,nan,India,Small,Small,Data Scientist,39176.716266486306,more than 125k
18960,25-29,Man,Brazil,Bachelor’s degree,Research Scientist,1-3 years,3,No experience,Academics/Education,0-49 employees,0,5000-7499,Other,Small,No team,Data Scientist,6250.0,less than 10k
18962,18-21,Man,China,Master’s degree,Data Scientist,3-5 years,1,1-2 years,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
18963,50-54,Man,Portugal,Bachelor’s degree,Other,5-10 years,1,No experience,Insurance/Risk Assessment,250-999 employees,1-2,10000-14999,Europe,Large,Small,Other,12500.0,between 10k and 30k
18964,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,1-3 years,3,Under 1 year,Energy/Mining,0-49 employees,3-4,nan,Europe,Small,Small,Data Engineer,39176.716266486306,more than 125k
18966,22-24,Man,Turkey,Master’s degree,Machine Learning Engineer,5-10 years,1,1-2 years,Medical/Pharmaceutical,0-49 employees,1-2,7500-9999,Other,Small,Small,Data Engineer,8750.0,less than 10k
18967,50-54,Woman,Taiwan,Bachelor’s degree,Program/Project Manager,3-5 years,4,1-2 years,Computers/Technology,0-49 employees,3-4,nan,Other,Small,Small,Data Analyst,39176.716266486306,more than 125k
18969,55-59,Woman,Other,Doctoral degree,Research Scientist,20+ years,3,3-4 years,Academics/Education,"1000-9,999 employees",3-4,25000-29999,Other,Large,Small,Data Scientist,27500.0,between 10k and 30k
18973,22-24,Man,USA,Bachelor’s degree,Data Scientist,5-10 years,1,4-5 years,Accounting/Finance,"1000-9,999 employees",10-14,80000-89999,USA,Large,Medium,Data Scientist,85000.0,between 80k and 125k
18977,35-39,Man,Brazil,Master’s degree,Business Analyst,3-5 years,3,3-4 years,Computers/Technology,"10,000 or more employees",3-4,nan,Other,Large,Small,Data Analyst,39176.716266486306,more than 125k
18981,35-39,Man,South Africa,Master’s degree,Research Scientist,20+ years,3,3-4 years,Academics/Education,250-999 employees,20+,50000-59999,Other,Large,Large,Data Scientist,55000.0,between 50k and 80k
18982,30-34,Man,Other,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Non-profit/Service,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
18983,30-34,Man,Germany,Master’s degree,Other,3-5 years,2,1-2 years,Online Business/Internet-based Sales,250-999 employees,0,0-999,Europe,Large,No team,Other,500.0,less than 10k
18984,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,1,1-2 years,Computers/Technology,250-999 employees,20+,0-999,India,Large,Large,Data Engineer,500.0,less than 10k
18985,40-44,Man,India,Doctoral degree,Research Scientist,10-20 years,4,Under 1 year,Shipping/Transportation,250-999 employees,1-2,50000-59999,India,Large,Small,Data Scientist,55000.0,between 50k and 80k
18987,30-34,Man,Indonesia,Bachelor’s degree,Software Engineer,5-10 years,4,3-4 years,Computers/Technology,0-49 employees,3-4,1000-1999,Other,Small,Small,Data Engineer,1500.0,less than 10k
18991,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,1-2 years,Computers/Technology,250-999 employees,20+,0-999,India,Large,Large,Data Analyst,500.0,less than 10k
18992,55-59,Man,Ukraine,I prefer not to answer,Data Scientist,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Europe,Small,Small,Data Scientist,500.0,less than 10k
18994,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,2,Under 1 year,Online Service/Internet-based Services,"10,000 or more employees",20+,nan,India,Large,Large,Data Analyst,39176.716266486306,more than 125k
18995,40-44,Man,Saudi Arabia,Master’s degree,Other,10-20 years,1,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",3-4,80000-89999,Other,Large,Small,Other,85000.0,between 80k and 125k
18998,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Retail/Sales,50-249 employees,1-2,0-999,Other,Medium,Small,Data Analyst,500.0,less than 10k
19000,35-39,Woman,Ukraine,I prefer not to answer,Software Engineer,5-10 years,3,4-5 years,Other,"1000-9,999 employees",0,40000-49999,Europe,Large,No team,Data Engineer,45000.0,between 30k and 50k
19001,55-59,Man,Turkey,Doctoral degree,Program/Project Manager,5-10 years,1,20 or more years,Insurance/Risk Assessment,0-49 employees,3-4,90000-99999,Other,Small,Small,Data Analyst,95000.0,between 80k and 125k
19003,45-49,Man,USA,Some college,Data Analyst,3-5 years,2,No experience,Retail/Sales,"1000-9,999 employees",3-4,80000-89999,USA,Large,Small,Data Analyst,85000.0,between 80k and 125k
19005,50-54,Man,Brazil,Doctoral degree,Research Scientist,20+ years,2,5-10 years,Academics/Education,"1000-9,999 employees",20+,0-999,Other,Large,Large,Data Scientist,500.0,less than 10k
19006,30-34,Man,Other,Doctoral degree,Research Scientist,3-5 years,4,4-5 years,Government/Public Service,"10,000 or more employees",10-14,15000-19999,Other,Large,Medium,Data Scientist,17500.0,between 10k and 30k
19008,22-24,Woman,India,Master’s degree,Data Scientist,< 1 years,5,Under 1 year,Computers/Technology,250-999 employees,5-9,2000-2999,India,Large,Small,Data Scientist,2500.0,less than 10k
19009,35-39,Man,USA,Doctoral degree,Data Scientist,10-20 years,4,4-5 years,Computers/Technology,0-49 employees,1-2,250000-299999,USA,Small,Small,Data Scientist,275000.0,more than 125k
19010,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,2000-2999,India,Large,Large,Data Engineer,2500.0,less than 10k
19011,50-54,Man,South Korea,Master’s degree,Program/Project Manager,< 1 years,2,No experience,Computers/Technology,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Analyst,12500.0,between 10k and 30k
19012,40-44,Man,Brazil,Master’s degree,Business Analyst,10-20 years,2,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",1-2,5000-7499,Other,Large,Small,Data Analyst,6250.0,less than 10k
19013,40-44,Man,India,Master’s degree,Data Scientist,10-20 years,3,4-5 years,Computers/Technology,"10,000 or more employees",3-4,15000-19999,India,Large,Small,Data Scientist,17500.0,between 10k and 30k
19014,45-49,Man,South Korea,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",20+,60000-69999,Other,Large,Large,Data Scientist,65000.0,between 50k and 80k
19016,30-34,Woman,USA,Master’s degree,Business Analyst,1-3 years,3,5-10 years,Retail/Sales,50-249 employees,3-4,100000-124999,USA,Medium,Small,Data Analyst,112500.0,between 80k and 125k
19018,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",5-9,20000-24999,India,Large,Small,Data Engineer,22500.0,between 10k and 30k
19020,18-21,Man,India,Some college,Data Analyst,< 1 years,2,Under 1 year,Other,"10,000 or more employees",0,nan,India,Large,No team,Data Analyst,39176.716266486306,more than 125k
19021,35-39,Woman,Turkey,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Computers/Technology,50-249 employees,10-14,30000-39999,Other,Medium,Medium,Data Scientist,35000.0,between 30k and 50k
19022,40-44,Woman,USA,Master’s degree,Business Analyst,1-3 years,6,Under 1 year,Hospitality/Entertainment/Sports,50-249 employees,1-2,80000-89999,USA,Medium,Small,Data Analyst,85000.0,between 80k and 125k
19023,22-24,Man,India,Master’s degree,Research Scientist,3-5 years,2,1-2 years,Academics/Education,250-999 employees,15-19,5000-7499,India,Large,Medium,Data Scientist,6250.0,less than 10k
19024,30-34,Woman,Egypt,Doctoral degree,Research Scientist,10-20 years,2,5-10 years,Academics/Education,50-249 employees,5-9,0-999,Other,Medium,Small,Data Scientist,500.0,less than 10k
19025,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,1,1-2 years,Other,0-49 employees,20+,nan,India,Small,Large,Data Scientist,39176.716266486306,more than 125k
19026,45-49,Man,Singapore,Doctoral degree,Statistician,20+ years,2,20 or more years,Academics/Education,"1000-9,999 employees",20+,150000-199999,Other,Large,Large,Data Scientist,175000.0,more than 125k
19028,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,6,Under 1 year,Computers/Technology,0-49 employees,1-2,15000-19999,India,Small,Small,Data Scientist,17500.0,between 10k and 30k
19029,25-29,Man,Indonesia,Master’s degree,Data Engineer,3-5 years,4,Under 1 year,Government/Public Service,50-249 employees,10-14,0-999,Other,Medium,Medium,Data Engineer,500.0,less than 10k
19030,40-44,Man,UAE,Master’s degree,Software Engineer,10-20 years,4,Under 1 year,Shipping/Transportation,"1000-9,999 employees",15-19,50000-59999,Other,Large,Medium,Data Engineer,55000.0,between 50k and 80k
19032,35-39,Man,Netherlands,Master’s degree,Software Engineer,10-20 years,5,Under 1 year,Accounting/Finance,"10,000 or more employees",5-9,60000-69999,Europe,Large,Small,Data Engineer,65000.0,between 50k and 80k
19034,45-49,Man,Colombia,Master’s degree,Statistician,1-3 years,2,1-2 years,Other,0-49 employees,5-9,30000-39999,Other,Small,Small,Data Scientist,35000.0,between 30k and 50k
19036,30-34,Man,Other,Master’s degree,Software Engineer,3-5 years,4,Under 1 year,Academics/Education,250-999 employees,0,2000-2999,Other,Large,No team,Data Engineer,2500.0,less than 10k
19038,35-39,Man,Japan,Some college,Data Engineer,3-5 years,1,1-2 years,Computers/Technology,250-999 employees,1-2,4000-4999,Other,Large,Small,Data Engineer,4500.0,less than 10k
19039,25-29,Man,China,Master’s degree,Machine Learning Engineer,3-5 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",5-9,nan,Other,Large,Small,Data Engineer,39176.716266486306,more than 125k
19046,22-24,Woman,Kenya,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Accounting/Finance,0-49 employees,1-2,nan,Other,Small,Small,Data Analyst,39176.716266486306,more than 125k
19048,35-39,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,3,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",1-2,20000-24999,Other,Large,Small,Data Scientist,22500.0,between 10k and 30k
19049,25-29,Man,India,Bachelor’s degree,Data Analyst,< 1 years,3,Under 1 year,Other,"1000-9,999 employees",20+,0-999,India,Large,Large,Data Analyst,500.0,less than 10k
19050,25-29,Man,USA,Master’s degree,Other,1-3 years,1,2-3 years,Energy/Mining,"10,000 or more employees",1-2,125000-149999,USA,Large,Small,Other,137500.0,more than 125k
19051,35-39,Man,USA,Master’s degree,Data Analyst,5-10 years,2,No experience,Medical/Pharmaceutical,50-249 employees,20+,100000-124999,USA,Medium,Large,Data Analyst,112500.0,between 80k and 125k
19053,25-29,Woman,Pakistan,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Academics/Education,50-249 employees,1-2,3000-3999,Other,Medium,Small,Data Analyst,3500.0,less than 10k
19054,30-34,Woman,Colombia,Bachelor’s degree,Data Analyst,< 1 years,3,Under 1 year,Government/Public Service,50-249 employees,1-2,2000-2999,Other,Medium,Small,Data Analyst,2500.0,less than 10k
19056,18-21,Man,India,Some college,Business Analyst,5-10 years,4,3-4 years,Academics/Education,50-249 employees,20+,200000-249999,India,Medium,Large,Data Analyst,225000.0,more than 125k
19060,22-24,Woman,Viet Nam,Master’s degree,Product Manager,< 1 years,3,Under 1 year,Computers/Technology,250-999 employees,5-9,5000-7499,Other,Large,Small,Data Analyst,6250.0,less than 10k
19062,30-34,Man,Sri Lanka,Some college,Software Engineer,5-10 years,6,2-3 years,Broadcasting/Communications,"1000-9,999 employees",5-9,10000-14999,Other,Large,Small,Data Engineer,12500.0,between 10k and 30k
19063,30-34,Man,Brazil,Master’s degree,Data Scientist,5-10 years,2,4-5 years,Online Service/Internet-based Services,"10,000 or more employees",10-14,3000-3999,Other,Large,Medium,Data Scientist,3500.0,less than 10k
19064,30-34,Man,India,Master’s degree,Other,5-10 years,4,2-3 years,Computers/Technology,"10,000 or more employees",1-2,70000-79999,India,Large,Small,Other,75000.0,between 50k and 80k
19066,50-54,Man,UK,Doctoral degree,Research Scientist,20+ years,3,10-20 years,Academics/Education,250-999 employees,1-2,50000-59999,Europe,Large,Small,Data Scientist,55000.0,between 50k and 80k
19068,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,2,3-4 years,Accounting/Finance,"10,000 or more employees",5-9,30000-39999,India,Large,Small,Data Scientist,35000.0,between 30k and 50k
19069,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,4,2-3 years,Computers/Technology,"1000-9,999 employees",20+,50000-59999,India,Large,Large,Data Analyst,55000.0,between 50k and 80k
19070,25-29,Man,Germany,Doctoral degree,Data Scientist,5-10 years,2,3-4 years,Academics/Education,"1000-9,999 employees",20+,40000-49999,Europe,Large,Large,Data Scientist,45000.0,between 30k and 50k
19071,18-21,Man,Italy,Bachelor’s degree,Data Scientist,1-3 years,3,1-2 years,Academics/Education,0-49 employees,3-4,nan,Europe,Small,Small,Data Scientist,39176.716266486306,more than 125k
19074,22-24,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Marketing/CRM,0-49 employees,3-4,7500-9999,Other,Small,Small,Data Analyst,8750.0,less than 10k
19077,25-29,Man,Other,Professional doctorate,Research Scientist,5-10 years,3,4-5 years,Non-profit/Service,250-999 employees,3-4,4000-4999,Other,Large,Small,Data Scientist,4500.0,less than 10k
19078,50-54,Man,Japan,High school,Data Scientist,3-5 years,3,3-4 years,Manufacturing/Fabrication,"1000-9,999 employees",5-9,70000-79999,Other,Large,Small,Data Scientist,75000.0,between 50k and 80k
19081,22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years,4,2-3 years,Accounting/Finance,"10,000 or more employees",20+,50000-59999,India,Large,Large,Data Engineer,55000.0,between 50k and 80k
19085,35-39,Man,China,Bachelor’s degree,Data Analyst,10-20 years,1,No experience,Computers/Technology,50-249 employees,0,1000-1999,Other,Medium,No team,Data Analyst,1500.0,less than 10k
19086,50-54,Man,Canada,Master’s degree,Other,5-10 years,1,2-3 years,Accounting/Finance,"10,000 or more employees",20+,80000-89999,Other,Large,Large,Other,85000.0,between 80k and 125k
19087,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Shipping/Transportation,"10,000 or more employees",1-2,5000-7499,India,Large,Small,Data Engineer,6250.0,less than 10k
19090,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,4,1-2 years,Computers/Technology,0-49 employees,5-9,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
19093,40-44,Man,India,Bachelor’s degree,Software Engineer,10-20 years,4,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,nan,India,Large,Large,Data Engineer,39176.716266486306,more than 125k
19094,40-44,Man,Pakistan,Master’s degree,Business Analyst,< 1 years,1,No experience,Accounting/Finance,0-49 employees,0,7500-9999,Other,Small,No team,Data Analyst,8750.0,less than 10k
19096,50-54,Man,Japan,High school,Software Engineer,20+ years,2,5-10 years,Computers/Technology,250-999 employees,0,80000-89999,Other,Large,No team,Data Engineer,85000.0,between 80k and 125k
19097,35-39,Man,Japan,Doctoral degree,Data Analyst,3-5 years,2,1-2 years,Shipping/Transportation,250-999 employees,1-2,70000-79999,Other,Large,Small,Data Analyst,75000.0,between 50k and 80k
19098,55-59,Man,Ukraine,Professional doctorate,Research Scientist,20+ years,3,Under 1 year,Academics/Education,"1000-9,999 employees",1-2,4000-4999,Europe,Large,Small,Data Scientist,4500.0,less than 10k
19101,45-49,Man,USA,Master’s degree,Data Engineer,10-20 years,3,Under 1 year,Computers/Technology,"1000-9,999 employees",20+,100000-124999,USA,Large,Large,Data Engineer,112500.0,between 80k and 125k
19102,30-34,Woman,Brazil,Master’s degree,Data Scientist,3-5 years,2,3-4 years,Government/Public Service,"1000-9,999 employees",1-2,30000-39999,Other,Large,Small,Data Scientist,35000.0,between 30k and 50k
19103,18-21,Woman,Indonesia,Master’s degree,Data Engineer,< 1 years,1,Under 1 year,Medical/Pharmaceutical,0-49 employees,0,nan,Other,Small,No team,Data Engineer,39176.716266486306,more than 125k
19105,25-29,Man,Indonesia,Master’s degree,Data Scientist,5-10 years,3,3-4 years,Academics/Education,0-49 employees,1-2,7500-9999,Other,Small,Small,Data Scientist,8750.0,less than 10k
19106,45-49,Man,Taiwan,Master’s degree,Software Engineer,5-10 years,1,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",20+,20000-24999,Other,Large,Large,Data Engineer,22500.0,between 10k and 30k
19108,55-59,Man,Greece,Master’s degree,Program/Project Manager,20+ years,1,No experience,Other,"1000-9,999 employees",1-2,100000-124999,Europe,Large,Small,Data Analyst,112500.0,between 80k and 125k
19109,30-34,Man,Germany,Bachelor’s degree,Data Engineer,5-10 years,3,4-5 years,Insurance/Risk Assessment,250-999 employees,3-4,5000-7499,Europe,Large,Small,Data Engineer,6250.0,less than 10k
19110,18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,7500-9999,Other,Small,Small,Data Scientist,8750.0,less than 10k
19111,22-24,Man,Indonesia,Bachelor’s degree,Statistician,< 1 years,1,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",10-14,0-999,Other,Large,Medium,Data Scientist,500.0,less than 10k
19112,35-39,Man,Russia,Doctoral degree,Statistician,5-10 years,3,1-2 years,Academics/Education,"10,000 or more employees",1-2,20000-24999,Europe,Large,Small,Data Scientist,22500.0,between 10k and 30k
19115,30-34,Man,Australia,Master’s degree,Data Scientist,10-20 years,4,2-3 years,Other,0-49 employees,3-4,80000-89999,Other,Small,Small,Data Scientist,85000.0,between 80k and 125k
19117,40-44,Man,Israel,Doctoral degree,Data Scientist,10-20 years,1,4-5 years,Online Service/Internet-based Services,"1000-9,999 employees",5-9,125000-149999,Other,Large,Small,Data Scientist,137500.0,more than 125k
19118,35-39,Man,Brazil,Doctoral degree,Other,3-5 years,1,Under 1 year,Computers/Technology,0-49 employees,0,1000-1999,Other,Small,No team,Other,1500.0,less than 10k
19120,35-39,Man,Nigeria,Master’s degree,Software Engineer,3-5 years,4,Under 1 year,Academics/Education,250-999 employees,5-9,1000-1999,Other,Large,Small,Data Engineer,1500.0,less than 10k
19123,45-49,Woman,Portugal,Master’s degree,Business Analyst,5-10 years,2,1-2 years,Computers/Technology,"1000-9,999 employees",15-19,40000-49999,Europe,Large,Medium,Data Analyst,45000.0,between 30k and 50k
19125,40-44,Man,Ecuador,Doctoral degree,Data Scientist,3-5 years,3,Under 1 year,Manufacturing/Fabrication,0-49 employees,1-2,1000-1999,Other,Small,Small,Data Scientist,1500.0,less than 10k
19127,25-29,Man,Nigeria,Bachelor’s degree,Business Analyst,3-5 years,1,1-2 years,Accounting/Finance,250-999 employees,5-9,1000-1999,Other,Large,Small,Data Analyst,1500.0,less than 10k
19128,35-39,Other,India,Master’s degree,DBA/Database Engineer,5-10 years,4,3-4 years,Accounting/Finance,"1000-9,999 employees",20+,100000-124999,India,Large,Large,Data Engineer,112500.0,between 80k and 125k
19129,22-24,Man,India,Bachelor’s degree,Research Scientist,< 1 years,4,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Scientist,500.0,less than 10k
19130,25-29,Man,USA,Master’s degree,Research Scientist,1-3 years,3,1-2 years,Academics/Education,"10,000 or more employees",20+,30000-39999,USA,Large,Large,Data Scientist,35000.0,between 30k and 50k
19133,30-34,Man,Nigeria,Master’s degree,Data Analyst,3-5 years,2,1-2 years,Energy/Mining,50-249 employees,3-4,2000-2999,Other,Medium,Small,Data Analyst,2500.0,less than 10k
19134,55-59,Man,Brazil,Master’s degree,Other,20+ years,4,No experience,Computers/Technology,"10,000 or more employees",20+,20000-24999,Other,Large,Large,Other,22500.0,between 10k and 30k
19135,30-34,Man,Argentina,Master’s degree,Data Scientist,5-10 years,2,3-4 years,Other,"1000-9,999 employees",15-19,60000-69999,Other,Large,Medium,Data Scientist,65000.0,between 50k and 80k
19136,50-54,Man,Poland,Doctoral degree,Research Scientist,20+ years,5,Under 1 year,Academics/Education,250-999 employees,20+,200000-249999,Europe,Large,Large,Data Scientist,225000.0,more than 125k
19137,22-24,Man,UK,Bachelor’s degree,Business Analyst,< 1 years,2,No experience,Retail/Sales,250-999 employees,0,30000-39999,Europe,Large,No team,Data Analyst,35000.0,between 30k and 50k
19139,50-54,Man,India,Master’s degree,Data Scientist,20+ years,3,3-4 years,Computers/Technology,0-49 employees,1-2,15000-19999,India,Small,Small,Data Scientist,17500.0,between 10k and 30k
