,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,salary_avg,salary_group,role_group
23365,40-44,Man,India,Doctoral degree,Other,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,15000-19999,India,Small,Small,17500.0,between 10k and 30k,Other
23366,50-54,Man,Australia,Master’s degree,Data Scientist,20+ years,3,4-5 years,Shipping/Transportation,"1000-9,999 employees",5-9,80000-89999,Other,Large,Small,85000.0,between 80k and 125k,Data Scientist
23367,40-44,Man,UK,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Accounting/Finance,0-49 employees,1-2,40000-49999,Europe,Small,Small,45000.0,between 30k and 50k,Data Engineer
23369,45-49,Man,Japan,Master’s degree,Data Scientist,1-3 years,2,No experience,Manufacturing/Fabrication,"1000-9,999 employees",1-2,5000-7499,Other,Large,Small,6250.0,less than 10k,Data Scientist
23371,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,3,1-2 years,Computers/Technology,"10,000 or more employees",15-19,7500-9999,India,Large,Medium,8750.0,less than 10k,Data Engineer
23372,35-39,Woman,USA,Master’s degree,Other,1-3 years,4,Under 1 year,Government/Public Service,"10,000 or more employees",20+,20000-24999,USA,Large,Large,22500.0,between 10k and 30k,Other
23376,25-29,Man,Japan,Some college,Software Engineer,< 1 years,1,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",1-2,0-999,Other,Large,Small,500.0,less than 10k,Data Engineer
23379,25-29,Man,China,Master’s degree,Data Scientist,1-3 years,1,2-3 years,Accounting/Finance,50-249 employees,5-9,30000-39999,Other,Medium,Small,35000.0,between 30k and 50k,Data Scientist
23380,45-49,Man,Turkey,I prefer not to answer,Machine Learning Engineer,< 1 years,1,Under 1 year,Government/Public Service,0-49 employees,0,7500-9999,Other,Small,No team,8750.0,less than 10k,Data Engineer
23383,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",20+,7500-9999,India,Large,Large,8750.0,less than 10k,Data Engineer
23385,30-34,Man,Israel,Master’s degree,Other,1-3 years,3,1-2 years,Accounting/Finance,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Other
23387,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,5,Under 1 year,Online Business/Internet-based Sales,0-49 employees,1-2,40000-49999,India,Small,Small,45000.0,between 30k and 50k,Data Engineer
23388,30-34,Man,USA,Master’s degree,Other,< 1 years,2,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,25000-29999,USA,Large,Large,27500.0,between 10k and 30k,Other
23389,25-29,Man,Thailand,Master’s degree,Machine Learning Engineer,10-20 years,1,2-3 years,Insurance/Risk Assessment,0-49 employees,3-4,40000-49999,Other,Small,Small,45000.0,between 30k and 50k,Data Engineer
23390,22-24,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Other,0-49 employees,0,0-999,Europe,Small,No team,500.0,less than 10k,Data Engineer
23392,50-54,Woman,Other,Master’s degree,Other,< 1 years,2,Under 1 year,Accounting/Finance,0-49 employees,0,40000-49999,Other,Small,No team,45000.0,between 30k and 50k,Other
23394,18-21,Man,Austria,Bachelor’s degree,Other,1-3 years,3,Under 1 year,Marketing/CRM,0-49 employees,3-4,0-999,Europe,Small,Small,500.0,less than 10k,Other
23397,55-59,Man,Spain,Doctoral degree,Data Scientist,20+ years,6,20 or more years,Academics/Education,50-249 employees,1-2,60000-69999,Europe,Medium,Small,65000.0,between 50k and 80k,Data Scientist
23398,30-34,Woman,India,Bachelor’s degree,Other,3-5 years,1,No experience,Retail/Sales,"10,000 or more employees",20+,0-999,India,Large,Large,500.0,less than 10k,Other
23400,35-39,Woman,Australia,Master’s degree,Business Analyst,1-3 years,3,Under 1 year,Government/Public Service,50-249 employees,3-4,50000-59999,Other,Medium,Small,55000.0,between 50k and 80k,Data Analyst
23401,30-34,Man,South Korea,Bachelor’s degree,Data Scientist,3-5 years,1,1-2 years,Marketing/CRM,50-249 employees,3-4,40000-49999,Other,Medium,Small,45000.0,between 30k and 50k,Data Scientist
23404,30-34,Man,India,Master’s degree,Data Scientist,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,7500-9999,India,Large,Large,8750.0,less than 10k,Data Scientist
23408,30-34,Man,UK,Master’s degree,Other,5-10 years,2,1-2 years,Academics/Education,"1000-9,999 employees",1-2,40000-49999,Europe,Large,Small,45000.0,between 30k and 50k,Other
23410,35-39,Man,UK,Doctoral degree,Data Scientist,5-10 years,2,5-10 years,Energy/Mining,"10,000 or more employees",20+,100000-124999,Europe,Large,Large,112500.0,between 80k and 125k,Data Scientist
23411,50-54,Man,Australia,Doctoral degree,Other,20+ years,4,20 or more years,Other,0-49 employees,1-2,125000-149999,Other,Small,Small,137500.0,more than 125k,Other
23413,40-44,Woman,Spain,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Online Business/Internet-based Sales,50-249 employees,3-4,30000-39999,Europe,Medium,Small,35000.0,between 30k and 50k,Data Scientist
23417,55-59,Man,France,Bachelor’s degree,DBA/Database Engineer,10-20 years,5,3-4 years,Retail/Sales,"1000-9,999 employees",5-9,50000-59999,Europe,Large,Small,55000.0,between 50k and 80k,Data Engineer
23421,70,Man,Canada,Master’s degree,Other,20+ years,5,4-5 years,Medical/Pharmaceutical,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Other
23423,30-34,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,2,1-2 years,Other,50-249 employees,10-14,10000-14999,Other,Medium,Medium,12500.0,between 10k and 30k,Data Analyst
23424,30-34,Man,Other,Bachelor’s degree,Business Analyst,< 1 years,4,Under 1 year,Government/Public Service,"1000-9,999 employees",3-4,1000-1999,Other,Large,Small,1500.0,less than 10k,Data Analyst
23425,30-34,Man,Ethiopia,Master’s degree,Data Scientist,3-5 years,5,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",1-2,4000-4999,Other,Large,Small,4500.0,less than 10k,Data Scientist
23426,25-29,Man,Japan,High school,Program/Project Manager,1-3 years,1,1-2 years,Retail/Sales,0-49 employees,0,2000-2999,Other,Small,No team,2500.0,less than 10k,Data Analyst
23427,30-34,Man,Japan,Doctoral degree,Research Scientist,1-3 years,1,2-3 years,Academics/Education,"1000-9,999 employees",1-2,5000-7499,Other,Large,Small,6250.0,less than 10k,Data Scientist
23428,22-24,Man,India,Master’s degree,Other,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,India,Small,Small,500.0,less than 10k,Other
23429,35-39,Man,Bangladesh,Master’s degree,Software Engineer,5-10 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",0,5000-7499,Other,Large,No team,6250.0,less than 10k,Data Engineer
23430,25-29,Woman,India,Master’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,5000-7499,India,Large,Large,6250.0,less than 10k,Data Engineer
23431,22-24,Man,Other,Bachelor’s degree,Software Engineer,< 1 years,6,Under 1 year,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
23432,40-44,Man,Singapore,Bachelor’s degree,Software Engineer,20+ years,2,Under 1 year,Accounting/Finance,50-249 employees,0,50000-59999,Other,Medium,No team,55000.0,between 50k and 80k,Data Engineer
23433,30-34,Man,Russia,Bachelor’s degree,Statistician,< 1 years,2,No experience,Accounting/Finance,50-249 employees,3-4,1000-1999,Europe,Medium,Small,1500.0,less than 10k,Data Scientist
23434,55-59,Man,Brazil,Bachelor’s degree,Data Scientist,20+ years,3,1-2 years,Government/Public Service,250-999 employees,1-2,7500-9999,Other,Large,Small,8750.0,less than 10k,Data Scientist
23441,35-39,Woman,Argentina,Doctoral degree,Research Scientist,< 1 years,2,Under 1 year,Academics/Education,50-249 employees,0,7500-9999,Other,Medium,No team,8750.0,less than 10k,Data Scientist
23442,30-34,Man,Chile,Doctoral degree,Data Scientist,5-10 years,1,Under 1 year,Shipping/Transportation,0-49 employees,3-4,20000-24999,Other,Small,Small,22500.0,between 10k and 30k,Data Scientist
23443,22-24,Man,Poland,Some college,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,"10,000 or more employees",20+,15000-19999,Europe,Large,Large,17500.0,between 10k and 30k,Data Scientist
23446,25-29,Man,Hong Kong,Master’s degree,Research Scientist,3-5 years,3,2-3 years,Academics/Education,"1000-9,999 employees",10-14,2000-2999,Other,Large,Medium,2500.0,less than 10k,Data Scientist
23447,40-44,Man,India,Professional doctorate,Program/Project Manager,10-20 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,20000-24999,India,Large,Small,22500.0,between 10k and 30k,Data Analyst
23450,35-39,Man,Brazil,Bachelor’s degree,Data Analyst,10-20 years,2,Under 1 year,Government/Public Service,0-49 employees,0,15000-19999,Other,Small,No team,17500.0,between 10k and 30k,Data Analyst
23451,22-24,Man,Pakistan,Master’s degree,Statistician,< 1 years,1,No experience,Government/Public Service,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
23452,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,1,2-3 years,Shipping/Transportation,250-999 employees,1-2,40000-49999,India,Large,Small,45000.0,between 30k and 50k,Data Analyst
23453,30-34,Woman,India,Doctoral degree,Other,< 1 years,3,Under 1 year,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Other
23454,35-39,Man,USA,Doctoral degree,Research Scientist,10-20 years,4,5-10 years,Medical/Pharmaceutical,250-999 employees,5-9,50000-59999,USA,Large,Small,55000.0,between 50k and 80k,Data Scientist
23457,30-34,Man,France,Master’s degree,Machine Learning Engineer,5-10 years,1,5-10 years,Manufacturing/Fabrication,50-249 employees,15-19,50000-59999,Europe,Medium,Medium,55000.0,between 50k and 80k,Data Engineer
23460,25-29,Woman,Indonesia,Bachelor’s degree,Business Analyst,< 1 years,2,No experience,Retail/Sales,50-249 employees,1-2,5000-7499,Other,Medium,Small,6250.0,less than 10k,Data Analyst
23463,35-39,Man,Japan,I prefer not to answer,Machine Learning Engineer,1-3 years,1,2-3 years,Computers/Technology,250-999 employees,10-14,0-999,Other,Large,Medium,500.0,less than 10k,Data Engineer
23465,25-29,Man,Germany,Master’s degree,Machine Learning Engineer,5-10 years,3,3-4 years,Insurance/Risk Assessment,0-49 employees,1-2,80000-89999,Europe,Small,Small,85000.0,between 80k and 125k,Data Engineer
23466,45-49,Man,India,Some college,Statistician,1-3 years,1,Under 1 year,Academics/Education,0-49 employees,10-14,10000-14999,India,Small,Medium,12500.0,between 10k and 30k,Data Scientist
23467,18-21,Woman,Kenya,Bachelor’s degree,Data Scientist,1-3 years,4,1-2 years,Shipping/Transportation,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
23470,30-34,Man,Italy,Doctoral degree,Research Scientist,3-5 years,1,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",0,30000-39999,Europe,Large,No team,35000.0,between 30k and 50k,Data Scientist
23472,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,3,2-3 years,Computers/Technology,"1000-9,999 employees",10-14,10000-14999,India,Large,Medium,12500.0,between 10k and 30k,Data Engineer
23473,40-44,Man,Japan,Bachelor’s degree,Software Engineer,5-10 years,5,No experience,Online Business/Internet-based Sales,0-49 employees,0,7500-9999,Other,Small,No team,8750.0,less than 10k,Data Engineer
23475,22-24,Man,USA,Master’s degree,Data Scientist,3-5 years,3,2-3 years,Academics/Education,"1000-9,999 employees",3-4,40000-49999,USA,Large,Small,45000.0,between 30k and 50k,Data Scientist
23476,22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,0-999,India,Large,Large,500.0,less than 10k,Data Engineer
23477,35-39,Man,India,Master’s degree,Product Manager,10-20 years,4,5-10 years,Accounting/Finance,"10,000 or more employees",10-14,40000-49999,India,Large,Medium,45000.0,between 30k and 50k,Data Analyst
23480,45-49,Man,Poland,Master’s degree,Program/Project Manager,5-10 years,4,5-10 years,Medical/Pharmaceutical,250-999 employees,5-9,30000-39999,Europe,Large,Small,35000.0,between 30k and 50k,Data Analyst
23483,22-24,Man,Turkey,Some college,Machine Learning Engineer,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,10000-14999,Other,Small,Small,12500.0,between 10k and 30k,Data Engineer
23486,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,4,Under 1 year,Computers/Technology,"1000-9,999 employees",10-14,10000-14999,India,Large,Medium,12500.0,between 10k and 30k,Data Engineer
23487,25-29,Man,Italy,Doctoral degree,Research Scientist,10-20 years,7,4-5 years,Academics/Education,250-999 employees,3-4,0-999,Europe,Large,Small,500.0,less than 10k,Data Scientist
23488,22-24,Woman,China,Bachelor’s degree,Data Engineer,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,10000-14999,Other,Large,Large,12500.0,between 10k and 30k,Data Engineer
23489,30-34,Woman,India,Master’s degree,Other,< 1 years,1,Under 1 year,Medical/Pharmaceutical,50-249 employees,0,5000-7499,India,Medium,No team,6250.0,less than 10k,Other
23490,30-34,Man,Poland,Doctoral degree,Research Scientist,1-3 years,2,Under 1 year,Academics/Education,250-999 employees,0,15000-19999,Europe,Large,No team,17500.0,between 10k and 30k,Data Scientist
23491,40-44,Man,USA,Doctoral degree,Data Scientist,20+ years,2,1-2 years,Other,"10,000 or more employees",20+,300000-499999,USA,Large,Large,400000.0,more than 125k,Data Scientist
23492,22-24,Man,Indonesia,Bachelor’s degree,Program/Project Manager,1-3 years,3,1-2 years,Academics/Education,50-249 employees,5-9,0-999,Other,Medium,Small,500.0,less than 10k,Data Analyst
23493,50-54,Man,Brazil,I prefer not to answer,Business Analyst,10-20 years,1,No experience,Insurance/Risk Assessment,"1000-9,999 employees",15-19,15000-19999,Other,Large,Medium,17500.0,between 10k and 30k,Data Analyst
23499,60-69,Man,USA,Bachelor’s degree,Machine Learning Engineer,20+ years,2,1-2 years,Accounting/Finance,0-49 employees,1-2,100000-124999,USA,Small,Small,112500.0,between 80k and 125k,Data Engineer
23500,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,3,1-2 years,Computers/Technology,"10,000 or more employees",3-4,7500-9999,India,Large,Small,8750.0,less than 10k,Data Engineer
23501,30-34,Man,Mexico,Bachelor’s degree,Data Analyst,5-10 years,5,No experience,Accounting/Finance,"10,000 or more employees",3-4,30000-39999,Other,Large,Small,35000.0,between 30k and 50k,Data Analyst
23502,22-24,Woman,Other,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Online Business/Internet-based Sales,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
23503,45-49,Man,Taiwan,Master’s degree,Software Engineer,5-10 years,7,1-2 years,Non-profit/Service,0-49 employees,1-2,10000-14999,Other,Small,Small,12500.0,between 10k and 30k,Data Engineer
23506,30-34,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Non-profit/Service,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
23508,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years,2,2-3 years,Broadcasting/Communications,"1000-9,999 employees",20+,15000-19999,Other,Large,Large,17500.0,between 10k and 30k,Data Scientist
23512,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,6,1-2 years,Computers/Technology,50-249 employees,3-4,0-999,India,Medium,Small,500.0,less than 10k,Data Scientist
23513,50-54,Man,Other,Doctoral degree,Research Scientist,20+ years,5,5-10 years,Academics/Education,250-999 employees,5-9,7500-9999,Other,Large,Small,8750.0,less than 10k,Data Scientist
23514,25-29,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,5,2-3 years,Computers/Technology,"1000-9,999 employees",5-9,40000-49999,India,Large,Small,45000.0,between 30k and 50k,Data Engineer
23515,55-59,Man,USA,Master’s degree,Program/Project Manager,20+ years,1,Under 1 year,Other,"10,000 or more employees",0,0-999,USA,Large,No team,500.0,less than 10k,Data Analyst
23516,30-34,Man,Nigeria,Bachelor’s degree,Other,1-3 years,1,No experience,Academics/Education,0-49 employees,0,3000-3999,Other,Small,No team,3500.0,less than 10k,Other
23517,30-34,Man,Brazil,Master’s degree,Business Analyst,3-5 years,2,No experience,Energy/Mining,"10,000 or more employees",20+,25000-29999,Other,Large,Large,27500.0,between 10k and 30k,Data Analyst
23518,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,5,Under 1 year,Academics/Education,"1000-9,999 employees",0,0-999,India,Large,No team,500.0,less than 10k,Data Scientist
23522,40-44,Man,USA,Bachelor’s degree,Software Engineer,10-20 years,1,No experience,Government/Public Service,"1000-9,999 employees",0,100000-124999,USA,Large,No team,112500.0,between 80k and 125k,Data Engineer
23525,18-21,Woman,Thailand,Master’s degree,Data Analyst,1-3 years,3,1-2 years,Hospitality/Entertainment/Sports,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
23526,30-34,Man,USA,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Computers/Technology,"10,000 or more employees",20+,80000-89999,USA,Large,Large,85000.0,between 80k and 125k,Data Scientist
23527,25-29,Man,India,Bachelor’s degree,Software Engineer,< 1 years,1,No experience,Computers/Technology,"10,000 or more employees",0,5000-7499,India,Large,No team,6250.0,less than 10k,Data Engineer
23530,45-49,Man,France,Master’s degree,Data Scientist,10-20 years,1,5-10 years,Computers/Technology,0-49 employees,1-2,60000-69999,Europe,Small,Small,65000.0,between 50k and 80k,Data Scientist
23533,30-34,Man,Colombia,Master’s degree,Data Scientist,5-10 years,4,1-2 years,Energy/Mining,"1000-9,999 employees",0,5000-7499,Other,Large,No team,6250.0,less than 10k,Data Scientist
23534,35-39,Man,Canada,Bachelor’s degree,Data Scientist,5-10 years,4,5-10 years,Computers/Technology,"10,000 or more employees",20+,100000-124999,Other,Large,Large,112500.0,between 80k and 125k,Data Scientist
23536,55-59,Man,Brazil,Some college,Other,10-20 years,2,No experience,Manufacturing/Fabrication,0-49 employees,1-2,30000-39999,Other,Small,Small,35000.0,between 30k and 50k,Other
23540,60-69,Man,India,Master’s degree,Data Engineer,20+ years,3,2-3 years,Retail/Sales,0-49 employees,3-4,150000-199999,India,Small,Small,175000.0,more than 125k,Data Engineer
23541,30-34,Man,Brazil,Doctoral degree,Software Engineer,5-10 years,2,4-5 years,Government/Public Service,"1000-9,999 employees",1-2,20000-24999,Other,Large,Small,22500.0,between 10k and 30k,Data Engineer
23543,45-49,Man,India,Master’s degree,Product Manager,10-20 years,3,4-5 years,Computers/Technology,"10,000 or more employees",3-4,40000-49999,India,Large,Small,45000.0,between 30k and 50k,Data Analyst
23546,45-49,Man,USA,Bachelor’s degree,Data Engineer,5-10 years,3,1-2 years,Computers/Technology,"10,000 or more employees",20+,90000-99999,USA,Large,Large,95000.0,between 80k and 125k,Data Engineer
23547,25-29,Man,Egypt,Master’s degree,Other,< 1 years,2,No experience,Computers/Technology,50-249 employees,0,1000-1999,Other,Medium,No team,1500.0,less than 10k,Other
23550,25-29,Man,Argentina,Bachelor’s degree,Data Scientist,3-5 years,1,1-2 years,Other,"10,000 or more employees",20+,5000-7499,Other,Large,Large,6250.0,less than 10k,Data Scientist
23551,25-29,Woman,Other,Bachelor’s degree,Data Scientist,1-3 years,4,3-4 years,Accounting/Finance,"1000-9,999 employees",5-9,10000-14999,Other,Large,Small,12500.0,between 10k and 30k,Data Scientist
23554,45-49,Man,Malaysia,Doctoral degree,Research Scientist,1-3 years,2,3-4 years,Academics/Education,"10,000 or more employees",20+,20000-24999,Other,Large,Large,22500.0,between 10k and 30k,Data Scientist
23555,22-24,Man,USA,Master’s degree,Data Scientist,5-10 years,2,4-5 years,Retail/Sales,"10,000 or more employees",20+,90000-99999,USA,Large,Large,95000.0,between 80k and 125k,Data Scientist
23557,25-29,Man,USA,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Academics/Education,"10,000 or more employees",20+,30000-39999,USA,Large,Large,35000.0,between 30k and 50k,Data Scientist
23560,25-29,Man,UK,Master’s degree,Other,5-10 years,1,2-3 years,Academics/Education,50-249 employees,1-2,50000-59999,Europe,Medium,Small,55000.0,between 50k and 80k,Other
23561,45-49,Man,India,Master’s degree,Data Engineer,10-20 years,3,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,100000-124999,India,Large,Large,112500.0,between 80k and 125k,Data Engineer
23562,25-29,Man,Other,Bachelor’s degree,Other,< 1 years,1,No experience,Energy/Mining,"10,000 or more employees",0,7500-9999,Other,Large,No team,8750.0,less than 10k,Other
23563,30-34,Man,Japan,Master’s degree,Data Scientist,3-5 years,4,5-10 years,Accounting/Finance,"10,000 or more employees",20+,100000-124999,Other,Large,Large,112500.0,between 80k and 125k,Data Scientist
23564,55-59,Man,Japan,Some college,Data Analyst,< 1 years,1,Under 1 year,Accounting/Finance,50-249 employees,1-2,0-999,Other,Medium,Small,500.0,less than 10k,Data Analyst
23565,45-49,Man,Italy,High school,Business Analyst,3-5 years,3,1-2 years,Online Service/Internet-based Services,250-999 employees,5-9,20000-24999,Europe,Large,Small,22500.0,between 10k and 30k,Data Analyst
23569,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,3,1-2 years,Online Business/Internet-based Sales,"1000-9,999 employees",10-14,15000-19999,India,Large,Medium,17500.0,between 10k and 30k,Data Engineer
23571,45-49,Man,Canada,Bachelor’s degree,Data Scientist,10-20 years,1,3-4 years,Accounting/Finance,"1000-9,999 employees",3-4,100000-124999,Other,Large,Small,112500.0,between 80k and 125k,Data Scientist
23573,30-34,Man,India,Bachelor’s degree,Data Analyst,10-20 years,3,No experience,Computers/Technology,"10,000 or more employees",20+,10000-14999,India,Large,Large,12500.0,between 10k and 30k,Data Analyst
23574,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Scientist
23575,40-44,Man,Pakistan,Master’s degree,Developer Relations/Advocacy,5-10 years,3,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,5000-7499,Other,Medium,Small,6250.0,less than 10k,Data Engineer
23577,45-49,Man,Germany,Doctoral degree,Data Scientist,20+ years,7,20 or more years,Academics/Education,"1000-9,999 employees",10-14,90000-99999,Europe,Large,Medium,95000.0,between 80k and 125k,Data Scientist
23579,22-24,Man,USA,Master’s degree,Data Scientist,3-5 years,3,1-2 years,Manufacturing/Fabrication,250-999 employees,1-2,70000-79999,USA,Large,Small,75000.0,between 50k and 80k,Data Scientist
23582,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,1-2 years,Online Service/Internet-based Services,250-999 employees,20+,5000-7499,India,Large,Large,6250.0,less than 10k,Data Analyst
23586,22-24,Man,Pakistan,Master’s degree,Data Scientist,3-5 years,3,1-2 years,Academics/Education,50-249 employees,20+,0-999,Other,Medium,Large,500.0,less than 10k,Data Scientist
23590,50-54,Man,Chile,Master’s degree,Other,1-3 years,2,No experience,Academics/Education,"1000-9,999 employees",10-14,0-999,Other,Large,Medium,500.0,less than 10k,Other
23591,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,0-49 employees,3-4,5000-7499,India,Small,Small,6250.0,less than 10k,Data Engineer
23595,60-69,Man,USA,Doctoral degree,Statistician,20+ years,4,20 or more years,Computers/Technology,"10,000 or more employees",20+,100000-124999,USA,Large,Large,112500.0,between 80k and 125k,Data Scientist
23597,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,1,Under 1 year,Computers/Technology,0-49 employees,3-4,4000-4999,India,Small,Small,4500.0,less than 10k,Data Analyst
23598,25-29,Other,Malaysia,Master’s degree,Software Engineer,3-5 years,2,1-2 years,Academics/Education,250-999 employees,3-4,0-999,Other,Large,Small,500.0,less than 10k,Data Engineer
23599,30-34,Man,USA,Master’s degree,Data Analyst,3-5 years,3,1-2 years,Academics/Education,50-249 employees,1-2,0-999,USA,Medium,Small,500.0,less than 10k,Data Analyst
23601,18-21,Man,South Korea,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,Under 1 year,Academics/Education,0-49 employees,3-4,1000-1999,Other,Small,Small,1500.0,less than 10k,Data Engineer
23602,40-44,Man,Thailand,Master’s degree,Software Engineer,1-3 years,1,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,30000-39999,Other,Small,Small,35000.0,between 30k and 50k,Data Engineer
23611,22-24,Woman,Other,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Accounting/Finance,"1000-9,999 employees",10-14,1000-1999,Other,Large,Medium,1500.0,less than 10k,Data Analyst
23614,30-34,Man,Ukraine,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Accounting/Finance,"1000-9,999 employees",20+,40000-49999,Europe,Large,Large,45000.0,between 30k and 50k,Data Scientist
23616,40-44,Man,Kenya,Master’s degree,Data Engineer,10-20 years,3,2-3 years,Other,0-49 employees,3-4,25000-29999,Other,Small,Small,27500.0,between 10k and 30k,Data Engineer
23619,30-34,Man,Brazil,Bachelor’s degree,Data Analyst,5-10 years,2,1-2 years,Retail/Sales,"1000-9,999 employees",0,20000-24999,Other,Large,No team,22500.0,between 10k and 30k,Data Analyst
23622,25-29,Man,Japan,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,"10,000 or more employees",10-14,5000-7499,Other,Large,Medium,6250.0,less than 10k,Data Scientist
23624,55-59,Man,Ireland,Doctoral degree,Research Scientist,3-5 years,4,5-10 years,Academics/Education,250-999 employees,20+,40000-49999,Europe,Large,Large,45000.0,between 30k and 50k,Data Scientist
23629,22-24,Woman,USA,Master’s degree,Data Analyst,3-5 years,1,No experience,Accounting/Finance,"10,000 or more employees",20+,100000-124999,USA,Large,Large,112500.0,between 80k and 125k,Data Analyst
23630,18-21,Woman,Other,Bachelor’s degree,Software Engineer,1-3 years,4,Under 1 year,Computers/Technology,50-249 employees,3-4,0-999,Other,Medium,Small,500.0,less than 10k,Data Engineer
23632,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,3,1-2 years,Online Business/Internet-based Sales,0-49 employees,3-4,0-999,India,Small,Small,500.0,less than 10k,Data Scientist
23636,22-24,Man,UK,Master’s degree,Software Engineer,3-5 years,3,1-2 years,Government/Public Service,"1000-9,999 employees",5-9,10000-14999,Europe,Large,Small,12500.0,between 10k and 30k,Data Engineer
23641,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,No experience,Computers/Technology,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Engineer
23642,25-29,Woman,India,Master’s degree,Software Engineer,3-5 years,4,No experience,Accounting/Finance,"10,000 or more employees",3-4,10000-14999,India,Large,Small,12500.0,between 10k and 30k,Data Engineer
23643,35-39,Man,UAE,Bachelor’s degree,Software Engineer,3-5 years,7,4-5 years,Computers/Technology,0-49 employees,1-2,5000-7499,Other,Small,Small,6250.0,less than 10k,Data Engineer
23644,55-59,Man,Brazil,Doctoral degree,Research Scientist,20+ years,3,5-10 years,Government/Public Service,250-999 employees,5-9,50000-59999,Other,Large,Small,55000.0,between 50k and 80k,Data Scientist
23645,25-29,Man,Spain,Master’s degree,Data Scientist,1-3 years,2,Under 1 year,Online Business/Internet-based Sales,"1000-9,999 employees",10-14,3000-3999,Europe,Large,Medium,3500.0,less than 10k,Data Scientist
23646,30-34,Man,USA,Doctoral degree,Other,10-20 years,2,3-4 years,Academics/Education,"1000-9,999 employees",20+,100000-124999,USA,Large,Large,112500.0,between 80k and 125k,Other
